time,predicted_position,filtered_position,position_error,kalman_gain_position,kalman_gain_velocity
69.5,1.55323,2.5045,3.36537,0.282664,0.0846957
70,2.51204,2.16469,-1.22886,0.282664,0.0846957
70.5,2.1202,1.49259,-2.22035,0.282664,0.0846957
71,1.35407,2.43623,3.82844,0.282664,0.0846957
71.5,2.45983,2.86766,1.4428,0.282664,0.0846957
72,2.95237,1.38539,-5.5436,0.282664,0.0846957
72.5,1.23534,0.96225,-0.966114,0.282664,0.0846957
73,0.771284,-0.635435,-4.97665,0.282664,0.0846957
73.5,-1.03715,-1.33003,-1.03614,0.282664,0.0846957
74,-1.77563,1.15556,10.3699,0.282664,0.0846957
74.5,1.14911,2.70065,5.48899,0.282664,0.0846957
75,2.92664,0.847265,-7.35637,0.282664,0.0846957
75.5,0.761733,-1.46317,-7.87118,0.282664,0.0846957
76,-1.88203,-1.50297,1.34103,0.282664,0.0846957
76.5,-1.86504,-2.8094,-3.34094,0.282664,0.0846957
77,-3.31295,-2.19831,3.94336,0.282664,0.0846957
77.5,-2.53487,1.07905,12.7852,0.282664,0.0846957
78,1.28392,0.236645,-3.70502,0.282664,0.0846957
78.5,0.284612,-2.78262,-10.8512,0.282664,0.0846957
79,-3.19418,-3.17809,0.0568981,0.282664,0.0846957
79.5,-3.58724,-2.00062,5.61309,0.282664,0.0846957
80,-2.17207,-3.11099,-3.3217,0.282664,0.0846957
80.5,-3.4231,-3.12638,1.04973,0.282664,0.0846957
81,-3.39404,-1.67752,6.07265,0.282664,0.0846957
81.5,-1.68801,-2.7114,-3.6205,0.282664,0.0846957
82,-2.87521,-2.52743,1.23038,0.282664,0.0846957
82.5,-2.63914,-1.88294,2.67526,0.282664,0.0846957
83,-1.88136,-3.15705,-4.51309,0.282664,0.0846957
83.5,-3.34659,-4.50686,-4.1048,0.282664,0.0846957
84,-4.87023,-3.93352,3.31388,0.282664,0.0846957
84.5,-4.15655,-2.84766,4.63054,0.282664,0.0846957
85,-2.8746,-2.11861,2.67454,0.282664,0.0846957
85.5,-2.03228,-0.0402752,7.04727,0.282664,0.0846957
86,0.344484,-1.84964,-7.76232,0.282664,0.0846957
86.5,-1.7936,-3.95722,-7.65438,0.282664,0.0846957
87,-4.22533,-2.94165,4.54136,0.282664,0.0846957
87.5,-3.01744,-0.553096,8.71828,0.282664,0.0846957
88,-0.259685,-0.403071,-0.507266,0.282664,0.0846957
88.5,-0.131141,-0.494614,-1.28589,0.282664,0.0846957
89,-0.277139,0.605088,3.12111,0.282664,0.0846957
89.5,0.954735,-1.55767,-8.88831,0.282664,0.0846957
90,-1.58442,-3.51527,-6.8309,0.282664,0.0846957
90.5,-3.8313,-0.894671,10.3891,0.282664,0.0846957
91,-0.770742,0.375024,4.05346,0.282664,0.0846957
91.5,0.670608,-0.379422,-3.71477,0.282664,0.0846957
92,-0.24115,-0.377375,-0.481933,0.282664,0.0846957
92.5,-0.259512,0.857908,3.95318,0.282664,0.0846957
93,1.14318,0.958898,-0.651949,0.282664,0.0846957
93.5,1.21656,0.384157,-2.94485,0.282664,0.0846957
94,0.517112,0.249312,-0.947418,0.282664,0.0846957
94.5,0.342146,-0.687963,-3.64429,0.282664,0.0846957
95,-0.749456,0.992261,6.1618,0.282664,0.0846957
95.5,1.19171,3.19027,7.07046,0.282664,0.0846957
96,3.68913,3.08408,-2.14054,0.282664,0.0846957
96.5,3.4923,2.52583,-3.41915,0.282664,0.0846957
97,2.78925,1.8036,-3.487,0.282664,0.0846957
97.5,1.91936,0.516793,-4.96196,0.282664,0.0846957
98,0.422421,0.0441651,-1.33818,0.282664,0.0846957
98.5,-0.106876,2.73742,10.0625,0.282664,0.0846957
99,3.0125,5.05991,7.24325,0.282664,0.0846957
99.5,5.64172,2.25845,-11.9692,0.282664,0.0846957
