time, running_average(5), position_error, PI_output, smoothed_output, PID_out, kalman_estimate, kalman_gain
49.5,-0.153349,-18.4916,19.9415,3.59927,3.59927,-0.146463,0.0312402
50,-0.82975,9.32754,-8.81038,0.496856,0.496856,0.123525,0.0312332
50.5,5.75391,13.8029,-14.666,-3.29386,-3.29386,0.730362,0.0312267
51,-1.82682,-19.7786,20.8933,2.75293,2.75293,0.0330267,0.0312206
51.5,-1.77467,5.09708,-4.49206,0.941686,0.941686,0.135704,0.0312148
52,3.9566,6.05479,-6.05525,-0.807549,-0.807549,0.443918,0.0312094
52.5,2.98791,0.666435,-0.733537,-0.789046,-0.789046,0.544098,0.0312043
53,-3.74749,-10.3727,11.3429,2.24394,2.24394,0.0865776,0.0311996
53.5,0.00697246,-2.84005,4.09422,2.70651,2.70651,-0.00450118,0.0311951
54,0.281214,4.41241,-3.59947,1.13001,1.13001,0.142038,0.0311909
54.5,0.871166,12.09,-12.486,-2.274,-2.274,0.541827,0.031187
55,-2.91104,-12.3457,13.1842,1.59054,1.59054,0.0491766,0.0311833
55.5,0.229926,1.35472,-0.651688,1.02998,1.02998,0.0970521,0.0311798
56,3.08914,8.37387,-8.50822,-1.35457,-1.35457,0.451403,0.0311765
56.5,1.367,-5.2841,5.67815,0.403612,0.403612,0.315222,0.0311735
57,-3.87315,-9.36645,10.6971,2.97699,2.97699,-0.10729,0.0311706
57.5,-0.0686476,3.83446,-2.8872,1.51095,1.51095,0.0134262,0.0311679
58,0.919374,5.60538,-5.21867,-0.171457,-0.171457,0.216354,0.0311654
58.5,0.0945267,7.24424,-7.58195,-2.02408,-2.02408,0.43831,0.031163
59,-1.91451,-12.0478,12.9149,1.71065,1.71065,-0.0104244,0.0311608
59.5,1.59133,2.69831,-2.10108,0.757722,0.757722,0.12356,0.0311587
60,2.40059,5.41149,-5.3554,-0.770559,-0.770559,0.36311,0.0311567
60.5,-1.31988,-10.7577,11.8896,2.39447,2.39447,-0.0244786,0.0311549
61,-2.22472,5.03926,-4.41133,0.693019,0.693019,0.0639658,0.0311532
61.5,-0.0703269,-3.12001,4.05994,1.53475,1.53475,-0.0374107,0.0311516
62,0.1165,5.10728,-4.67808,-0.018457,-0.018457,0.126476,0.03115
62.5,1.49694,13.2173,-14.1099,-3.54131,-3.54131,0.580865,0.0311486
63,-0.0395493,-19.7204,20.8,2.54401,2.54401,-0.0526973,0.0311473
63.5,-2.14997,-5.58759,7.22587,3.71448,3.71448,-0.29205,0.031146
64,2.2619,16.6071,-16.6296,-1.37154,-1.37154,0.304718,0.0311448
64.5,-2.29282,-15.257,16.7603,3.16142,3.16142,-0.251339,0.0311437
65,-7.6375,-4.37166,6.31209,3.94909,3.94909,-0.617508,0.0311427
65.5,0.0286541,18.5421,-18.4559,-1.65217,-1.65217,-0.0199525,0.0311417
66,3.62178,6.60628,-7.18069,-3.0343,-3.0343,0.299178,0.0311408
66.5,-4.25086,-16.2433,17.2932,2.04758,2.04758,-0.348324,0.0311399
67,0.0930058,4.07649,-3.43422,0.67713,0.67713,-0.207643,0.0311391
67.5,2.52815,-2.36159,3.24002,1.31785,1.31785,-0.195991,0.0311383
68,-0.647062,3.3418,-2.79755,0.289003,0.289003,-0.105981,0.0311376
68.5,-3.07817,1.15069,-0.721512,0.036374,0.036374,-0.162697,0.031137
69,0.271277,-4.01819,4.84919,1.23958,1.23958,-0.274296,0.0311363
69.5,0.465573,4.6754,-4.31194,-0.1483,-0.1483,-0.105688,0.0311357
70,3.03471,9.97751,-10.6118,-2.76418,-2.76418,0.30274,0.0311352
70.5,-1.65893,-19.1145,20.3917,3.02479,3.02479,-0.35346,0.0311347
71,-0.826806,3.05996,-2.08879,1.74639,1.74639,-0.272928,0.0311342
71.5,0.417419,2.05679,-1.2913,0.986968,0.986968,-0.187399,0.0311337
72,0.420999,4.73787,-4.44617,-0.371316,-0.371316,-0.0209524,0.0311333
72.5,-2.45602,1.08313,-0.899744,-0.503423,-0.503423,-0.0630422,0.0311329
73,0.103074,-8.08104,9.07253,1.89056,1.89056,-0.309454,0.0311325
73.5,1.96629,9.58296,-9.54976,-0.969517,-0.969517,0.0597334,0.0311322
74,2.25317,1.65541,-1.78776,-1.17408,-1.17408,0.179555,0.0311318
74.5,-2.70273,-16.9179,18.4773,3.73877,3.73877,-0.436854,0.0311315
75,-1.32235,6.85135,-5.97704,1.30982,1.30982,-0.25113,0.0311312
75.5,1.10998,3.0737,-2.50677,0.355672,0.355672,-0.11307,0.0311309
76,0.014732,6.05827,-6.09716,-1.25754,-1.25754,0.0795069,0.0311307
76.5,-1.14581,-0.748306,0.784245,-0.74709,-0.74709,0.0180673,0.0311304
77,-0.330297,-15.2128,16.77,3.63217,3.63217,-0.466354,0.0311302
77.5,2.90067,18.7832,-19.1043,-2.05194,-2.05194,0.223182,0.03113
78,1.58084,-3.99631,4.07484,-0.520245,-0.520245,0.141041,0.0311298
78.5,-3.35105,-15.2354,16.8375,3.81919,3.81919,-0.441939,0.0311296
79,-0.0722084,14.5723,-14.4275,-0.742476,-0.742476,0.0231985,0.0311294
79.5,6.80014,12.0186,-13.0756,-3.82575,-3.82575,0.608289,0.0311293
80,-1.59054,-18.679,19.4899,2.00316,2.00316,-0.0416196,0.0311291
80.5,-0.341952,4.1694,-3.77546,0.558505,0.558505,0.0788205,0.031129
81,4.29359,0.297644,0.066535,0.435512,0.435512,0.219287,0.0311288
81.5,0.542084,-4.79951,5.64364,1.73754,1.73754,0.0799325,0.0311287
82,-3.732,1.18028,-0.45418,1.18961,1.18961,-0.001987,0.0311286
82.5,0.869061,1.8667,-1.32727,0.560393,0.560393,0.0832348,0.0311285
83,-1.61745,-6.98764,8.22583,2.47675,2.47675,-0.187218,0.0311283
83.5,1.61189,19.126,-19.8004,-3.09254,-3.09254,0.464145,0.0311282
84,1.11289,-7.86531,7.97743,-0.32505,-0.32505,0.239506,0.0311282
84.5,-0.976687,-12.0229,13.3373,3.09055,3.09055,-0.172602,0.0311281
85,-0.515817,5.55593,-4.79711,1.11863,1.11863,-0.0103406,0.031128
85.5,2.83312,5.30647,-5.0783,-0.430598,-0.430598,0.24335,0.0311279
86,-3.10228,-5.8368,6.64865,1.33921,1.33921,-0.0424793,0.0311278
86.5,-2.13704,0.210819,0.579955,1.1494,1.1494,-0.101116,0.0311278
87,1.37127,3.17069,-2.69698,0.187804,0.187804,0.0434123,0.0311277
87.5,3.46993,12.0635,-12.7961,-3.05818,-3.05818,0.525579,0.0311276
88,-1.82761,-16.5205,17.4399,2.06634,2.06634,-0.0619125,0.0311276
88.5,-1.34555,-5.18323,6.62096,3.205,3.205,-0.26321,0.0311275
89,1.47638,10.707,-10.34,-0.181256,-0.181256,0.124222,0.0311275
89.5,0.590487,-0.47801,0.892837,0.0872675,0.0872675,0.123857,0.0311274
90,-3.55101,-1.62308,2.20022,0.615505,0.615505,-0.0410549,0.0311274
90.5,-0.0808299,-0.916343,1.58511,0.857907,0.857907,-0.0708163,0.0311274
91,2.81591,5.13903,-4.98417,-0.602611,-0.602611,0.179004,0.0311273
91.5,1.53121,4.22869,-4.49669,-1.57613,-1.57613,0.352722,0.0311273
92,-1.98359,-15.4779,16.7577,3.00734,3.00734,-0.201786,0.0311272
92.5,-1.91911,-2.93259,4.50564,3.38191,3.38191,-0.346525,0.0311272
93,2.46185,18.4458,-18.7173,-2.1429,-2.1429,0.315057,0.0311272
93.5,-0.678409,-7.06794,7.50321,0.268629,0.268629,0.0641283,0.0311271
94,-3.41059,-4.49042,5.37473,1.54515,1.54515,-0.183803,0.0311271
94.5,2.37685,9.09881,-9.12439,-1.12223,-1.12223,0.179122,0.0311271
95,3.49994,-2.73619,2.98424,-0.0956152,-0.0956152,0.19732,0.0311271
95.5,-3.10397,-9.00793,10.1568,2.46748,2.46748,-0.18583,0.031127
96,0.481345,9.69888,-9.51993,-0.52937,-0.52937,0.136834,0.031127
96.5,-1.05599,-14.5317,16.1638,3.64393,3.64393,-0.352623,0.031127
97,-1.02181,12.6684,-12.3031,-0.342834,-0.342834,0.0208762,0.031127
97.5,1.71523,12.7337,-13.6418,-3.66758,-3.66758,0.469979,0.031127
98,-0.0744846,-20.986,22.1765,2.79345,2.79345,-0.2002,0.031127
98.5,-2.37654,1.04647,0.0393918,2.10493,2.10493,-0.235369,0.0311269
99,4.61973,14.774,-15.1655,-2.21267,-2.21267,0.375623,0.0311269
99.5,-2.0056,-19.4745,21.0304,3.59809,3.59809,-0.304677,0.0311269
