time,measured_position,estimated_position, error, L1, L2, estimated_velocity
77,-2.81765,-1.31869,-2.99793,0.5,0.1,-0.404246
77.5,-2.54325,-2.03203,-1.02243,0.5,0.1,-0.506489
78,-10.3775,-6.33136,-8.09218,0.5,0.1,-1.31571
78.5,-1.12768,-4.05845,5.86154,0.5,0.1,-0.729553
79,1.25723,-1.583,5.68045,0.5,0.1,-0.161507
79.5,-3.3823,-2.52303,-1.71855,0.5,0.1,-0.333363
80,5.80169,1.55599,8.4914,0.5,0.1,0.515777
80.5,5.88418,3.84903,4.0703,0.5,0.1,0.922807
81,7.08871,5.69957,2.77828,0.5,0.1,1.20063
81.5,3.95456,5.12723,-2.34533,0.5,0.1,0.966102
82,-0.336599,2.63684,-5.94688,0.5,0.1,0.371415
82.5,0.811877,1.81721,-2.01067,0.5,0.1,0.170348
83,-4.35712,-1.22737,-6.2595,0.5,0.1,-0.455603
83.5,-5.50242,-3.47879,-4.04725,0.5,0.1,-0.860328
84,-6.76548,-5.33722,-2.85652,0.5,0.1,-1.14598
84.5,-3.26655,-4.58838,2.64365,0.5,0.1,-0.881615
85,0.404273,-2.31246,5.43346,0.5,0.1,-0.338268
85.5,-3.8884,-3.18499,-1.4068,0.5,0.1,-0.478949
86,5.9408,1.25817,9.36527,0.5,0.1,0.457578
86.5,6.86964,4.1783,5.38268,0.5,0.1,0.995847
87,1.52475,3.10048,-3.15148,0.5,0.1,0.680699
87.5,2.79698,3.1189,-0.643857,0.5,0.1,0.616313
88,0.652711,2.03989,-2.77435,0.5,0.1,0.338878
88.5,4.25666,3.23299,2.04734,0.5,0.1,0.543612
89,-6.91617,-1.70568,-10.421,0.5,0.1,-0.498485
89.5,-2.54815,-2.25154,-0.593226,0.5,0.1,-0.557807
90,1.62786,-0.451291,4.15831,0.5,0.1,-0.141977
90.5,-4.52316,-2.52272,-4.00088,0.5,0.1,-0.542065
91,-1.03777,-1.91576,1.75599,0.5,0.1,-0.366466
91.5,0.266349,-0.916322,2.36534,0.5,0.1,-0.129932
92,4.29735,1.65803,5.27864,0.5,0.1,0.397931
92.5,-3.58414,-0.86357,-5.44113,0.5,0.1,-0.146182
93,-1.6334,-1.28503,-0.696743,0.5,0.1,-0.215856
93.5,4.05162,1.32933,5.44458,0.5,0.1,0.328602
94,-2.52609,-0.516231,-4.01972,0.5,0.1,-0.0733703
94.5,0.797285,0.122184,1.3502,0.5,0.1,0.0616497
95,0.119598,0.136303,-0.0334115,0.5,0.1,0.0583086
95.5,2.52285,1.34415,2.35739,0.5,0.1,0.294047
96,4.23293,2.86205,2.74176,0.5,0.1,0.568223
96.5,-0.810278,1.16794,-3.95644,0.5,0.1,0.172579
97,2.53995,1.89709,1.28571,0.5,0.1,0.30115
97.5,1.23503,1.64135,-0.81264,0.5,0.1,0.219886
98,-3.7784,-1.01355,-5.52969,0.5,0.1,-0.333082
98.5,-5.67732,-3.42871,-4.49723,0.5,0.1,-0.782805
99,-4.32779,-4.07395,-0.507674,0.5,0.1,-0.833573
99.5,1.46722,-1.51176,5.95796,0.5,0.1,-0.237777
