Time, Current Position, Running Average(7), Error, PI Output, Smoothed Output
14.8,-33.5206,-13.1566,20.3639,20.8499,4.00256
14.9,-6.90513,-13.8957,-6.99059,-6.57455,1.35828
15,-4.18565,-13.4772,-9.29154,-8.96841,-1.22339
15.1,-6.34027,-9.57102,-3.23076,-2.93994,-1.65253
15.2,-33.3616,-13.4294,19.9321,20.4223,3.86618
15.3,-7.44326,-14.0691,-6.62588,-6.202,1.34913
15.4,-5.42996,-13.8838,-8.45381,-8.11447,-1.01677
15.5,-5.96895,-9.94783,-3.97888,-3.67932,-1.68241
15.6,-33.1822,-13.7017,19.4805,19.9748,3.7319
15.7,-7.96377,-14.2414,-6.27765,-5.84606,1.33741
15.8,-6.66428,-14.2877,-7.62342,-7.26808,-0.813963
15.9,-5.6055,-10.3226,-4.71706,-4.40888,-1.71269
16,-32.9958,-13.9729,19.0229,19.5213,3.5958
16.1,-8.45462,-14.405,-5.95038,-5.51148,1.31898
16.2,-7.90744,-14.6819,-6.7745,-6.40334,-0.611603
16.3,-5.24831,-10.6914,-5.44307,-5.12635,-1.74029
16.4,-32.801,-14.2396,18.5615,19.0638,3.46073
16.5,-8.92398,-14.5624,-5.6384,-5.19244,1.29744
16.6,-9.14688,-15.0683,-5.92141,-5.53467,-0.410588
16.7,-4.90318,-11.0551,-6.15188,-5.82666,-1.76461
16.8,-32.5876,-14.5026,18.0849,18.591,3.3243
16.9,-9.38057,-14.7131,-5.3325,-4.87976,1.27328
17,-10.3845,-15.4468,-5.06234,-4.66022,-0.210092
17.1,-4.57529,-11.4146,-6.83926,-6.50553,-1.78395
17.2,-32.3735,-14.7645,17.609,18.1188,3.19174
17.3,-9.80135,-14.858,-5.05663,-4.59738,1.24446
17.4,-11.6094,-15.816,-4.20663,-3.78944,-0.014017
17.5,-4.2544,-11.7684,-7.51402,-7.17197,-1.80351
17.6,-32.1576,-15.0223,17.1353,17.6487,3.05954
17.7,-10.2059,-14.9968,-4.79085,-4.32536,1.21332
17.8,-12.8599,-16.1803,-3.32042,-2.88813,0.187955
17.9,-3.95252,-12.1201,-8.16762,-7.81701,-1.81329
18,-31.9332,-15.2818,16.6513,17.1685,2.93215
18.1,-10.5939,-15.1368,-4.54284,-4.07115,1.18133
18.2,-14.0828,-16.5408,-2.45799,-2.01087,0.383276
18.3,-3.64749,-12.468,-8.82046,-8.46155,-1.82793
18.4,-31.7,-15.5385,16.1614,16.682,2.79954
18.5,-10.9528,-15.2661,-4.31329,-3.8359,1.14068
18.6,-15.3027,-16.8876,-1.58481,-1.12327,0.574694
18.7,-3.36709,-12.8067,-9.4396,-9.07245,-1.83709
18.8,-31.447,-15.7857,15.6613,16.1851,2.66845
18.9,-11.2943,-15.3873,-4.09305,-3.61022,1.09878
19,-16.5068,-17.2244,-0.717611,-0.241955,0.763598
19.1,-3.09981,-13.1386,-10.0388,-9.66357,-1.84319
19.2,-31.1978,-16.0308,15.167,15.694,2.5411
19.3,-11.5929,-15.5008,-3.90794,-3.42008,1.0508
19.4,-17.7041,-17.549,0.155182,0.644593,0.949251
19.5,-2.83926,-13.4621,-10.6229,-10.2397,-1.84799
19.6,-30.9487,-16.2699,14.6788,15.2088,2.41621
19.7,-11.8868,-15.6099,-3.72313,-3.23039,1.00456
19.8,-18.9133,-17.869,1.04432,1.5475,1.14029
19.9,-2.60008,-13.7836,-11.1835,-10.7922,-1.84282
20,-30.6936,-16.5123,14.1813,14.7145,2.2965
20.1,-12.1571,-15.7198,-3.56274,-3.06521,0.956072
20.2,-20.0841,-18.1834,1.90068,2.41722,1.32136
20.3,-2.36351,-14.0998,-11.7363,-11.3371,-1.84325
20.4,-30.4291,-16.7487,13.6804,14.2164,2.17167
20.5,-12.3992,-15.8181,-3.41889,-2.91709,0.899477
20.6,-21.2401,-18.481,2.75919,3.28858,1.49675
20.7,-2.1525,-14.4037,-12.2512,-11.8443,-1.83851
20.8,-30.1567,-16.975,13.1817,13.7204,2.05121
20.9,-12.6261,-15.9096,-3.28352,-2.77766,0.843995
21,-22.3777,-18.7688,3.60895,4.15089,1.67072
21.1,-1.95527,-14.7011,-12.7458,-12.3313,-1.8298
21.2,-29.8798,-17.1983,12.6814,13.2227,1.93334
21.3,-12.8092,-15.9939,-3.18471,-2.67526,0.781189
21.4,-23.5086,-19.0448,4.46381,5.0179,1.84037
21.5,-1.77132,-14.9897,-13.2184,-12.7965,-1.81884
21.6,-29.6047,-17.4152,12.1895,12.7333,1.81919
21.7,-12.9892,-16.074,-3.08479,-2.57184,0.721433
21.8,-24.6361,-19.3141,5.322,5.88818,2.01312
21.9,-1.6051,-15.2749,-13.6698,-13.2403,-1.80024
22,-29.3271,-17.6346,11.6925,12.2389,1.70954
22.1,-13.1414,-16.1536,-3.01214,-2.49586,0.658187
22.2,-25.7304,-19.5763,6.15407,6.73189,2.17661
22.3,-1.44237,-15.5531,-14.1107,-13.674,-1.78604
22.4,-29.0565,-17.8484,11.2081,11.7569,1.59969
22.5,-13.2727,-16.2251,-2.95237,-2.4331,0.591495
22.6,-26.7974,-19.824,6.9734,7.5624,2.33422
22.7,-1.30502,-15.8208,-14.5158,-14.072,-1.76732
22.8,-28.7606,-18.0521,10.7085,11.2594,1.48935
22.9,-13.3805,-16.2879,-2.90734,-2.38548,0.520645
23,-27.8387,-20.0588,7.77992,8.37958,2.48538
23.1,-1.17918,-16.0763,-14.8971,-14.4464,-1.74757
23.2,-28.4888,-18.25,10.2388,10.7919,1.38729
23.3,-13.4511,-16.3434,-2.89236,-2.36821,0.448416
23.4,-28.8691,-20.2811,8.588,9.19803,2.63582
23.5,-1.07574,-16.3262,-15.2504,-14.7929,-1.72136
23.6,-28.2016,-18.4435,9.75813,10.3132,1.28729
23.7,-13.5159,-16.3973,-2.88148,-2.35519,0.376667
23.8,-29.8799,-20.4974,9.38243,10.0026,2.78314
23.9,-0.986835,-16.5686,-15.5818,-15.1175,-1.69201
24,-27.9183,-18.6353,9.28292,9.84005,1.19101
24.1,-13.555,-16.4476,-2.89256,-2.36436,0.302164
24.2,-30.8615,-20.7027,10.1588,10.7885,2.92376
24.3,-0.9044,-16.8031,-15.8987,-15.4279,-1.66416
24.4,-27.6367,-18.8204,8.81635,9.37532,1.09571
24.5,-13.5738,-16.4909,-2.91715,-2.38736,0.224946
24.6,-31.8008,-20.8929,10.9079,11.5467,3.0554
24.7,-0.848808,-17.0259,-16.177,-15.6999,-1.63344
24.8,-27.342,-18.9954,8.34658,8.90715,1.00171
24.9,-13.5771,-16.5262,-2.94917,-2.41809,0.146757
25,-32.7249,-21.072,11.6529,12.3005,3.1852
25.1,-0.80879,-17.2395,-16.4307,-15.9474,-1.59794
25.2,-27.0576,-19.1657,7.8919,8.45411,0.915074
25.3,-13.5351,-16.5563,-3.02122,-2.48922,0.0640016
25.4,-33.6079,-21.2362,12.3717,13.0274,3.30486
25.5,-0.782657,-17.442,-16.6594,-16.1702,-1.56391
25.6,-26.7731,-19.3272,7.44594,8.00953,0.829449
25.7,-13.4937,-16.5798,-3.08612,-2.5534,-0.0162619
25.8,-34.4968,-21.3924,13.1044,13.7682,3.42985
25.9,-0.77535,-17.6378,-16.8625,-16.3673,-1.51944
26,-26.5041,-19.4905,7.01354,7.57882,0.755124
26.1,-13.4311,-16.6081,-3.17701,-2.64349,-0.0945305
26.2,-35.3316,-21.5437,13.7879,14.4593,3.54392
26.3,-0.77095,-17.8291,-17.0581,-16.5573,-1.48139
26.4,-26.2258,-19.648,6.57788,7.14447,0.675076
26.5,-13.3449,-16.6262,-3.28137,-2.74759,-0.180591
26.6,-36.1307,-21.677,14.4537,15.132,3.64756
26.7,-0.797702,-18.0047,-17.207,-16.7007,-1.43952
26.8,-25.9488,-19.7929,6.15592,6.72373,0.601295
26.9,-13.2377,-16.6367,-3.39898,-2.86517,-0.265321
27,-36.8939,-21.7971,15.0968,15.7816,3.7464
27.1,-0.832016,-18.1694,-17.3374,-16.826,-1.39669
27.2,-25.67,-19.9301,5.73992,6.30872,0.529666
27.3,-13.1023,-16.6403,-3.53808,-3.00465,-0.353914
27.4,-37.6284,-21.9019,15.7265,16.4172,3.83887
27.5,-0.887706,-18.3217,-17.434,-16.9177,-1.35026
27.6,-25.4044,-20.0598,5.34456,5.91436,0.465895
27.7,-12.9596,-16.6406,-3.68105,-3.14806,-0.437595
27.8,-38.3453,-21.9997,16.3457,17.0421,3.93233
27.9,-0.962128,-18.47,-17.5078,-16.9865,-1.29737
28,-25.1341,-20.1888,4.94529,5.5161,0.405996
28.1,-12.7972,-16.6415,-3.84428,-3.31191,-0.52348
28.2,-39.0122,-22.0878,16.9243,17.626,4.01388
28.3,-1.04736,-18.6083,-17.5609,-17.0349,-1.24831
28.4,-24.877,-20.3108,4.56625,5.13792,0.348246
28.5,-12.6249,-16.6364,-4.01151,-3.47995,-0.608803
28.6,-39.6288,-22.1602,17.4685,18.1748,4.08709
28.7,-1.14993,-18.7339,-17.584,-17.0536,-1.19808
28.8,-24.6048,-20.4207,4.18413,4.75637,0.290537
28.9,-12.4256,-16.6226,-4.19701,-3.66673,-0.69878
29,-40.2226,-22.2191,18.0035,18.7138,4.15437
29.1,-1.27689,-18.8477,-17.5708,-17.0362,-1.14326
29.2,-24.3453,-20.522,3.82327,4.3961,0.241576
29.3,-12.2044,-16.6042,-4.39981,-3.87097,-0.786561
29.4,-40.7763,-22.2651,18.5111,19.2251,4.21635
29.5,-1.41097,-18.9517,-17.5408,-17.0022,-1.08829
29.6,-24.0891,-20.6179,3.47121,4.04446,0.194898
29.7,-11.9759,-16.5827,-4.60676,-4.07957,-0.87372
29.8,-41.3102,-22.3017,19.0085,19.7257,4.27615
29.9,-1.55941,-19.0466,-17.4872,-16.9448,-1.02909
30,-23.8502,-20.7103,3.13991,3.7137,0.156605
30.1,-11.7336,-16.5614,-4.82777,-4.30225,-0.95811
30.2,-41.792,-22.3301,19.462,20.1821,4.32694
30.3,-1.72116,-19.1347,-17.4135,-16.8675,-0.971667
30.4,-23.6114,-20.7969,2.81454,3.38869,0.118422
30.5,-11.4724,-16.5343,-5.06195,-4.53842,-1.04579
30.6,-42.2352,-22.3451,19.8901,20.6125,4.36879
30.7,-1.90251,-19.2098,-17.3073,-16.7579,-0.912883
30.8,-23.361,-20.8708,2.49019,3.06445,0.0814503
30.9,-11.2032,-16.501,-5.29775,-4.77647,-1.13303
31,-42.6182,-22.3434,20.2748,20.9988,4.39993
31.1,-2.09464,-19.2696,-17.175,-16.6227,-0.85572
31.2,-23.1292,-20.9349,2.19432,2.76854,0.050345
31.3,-10.9116,-16.4601,-5.54849,-5.02975,-1.21968
31.4,-42.9768,-22.3278,20.649,21.3742,4.42879
31.5,-2.31642,-19.3214,-17.005,-16.4498,-0.790868
31.6,-22.8975,-20.992,1.90543,2.47966,0.026765
31.7,-10.6128,-16.4198,-5.80702,-5.29086,-1.30264
31.8,-43.3201,-22.3092,21.0109,21.7372,4.45731
31.9,-2.54199,-19.3682,-16.8262,-16.2682,-0.724058
32,-22.679,-21.0492,1.62975,2.20405,0.0079695
32.1,-10.2885,-16.3795,-6.09097,-5.57758,-1.38842
32.2,-43.5949,-22.2764,21.3185,22.0451,4.46996
32.3,-2.77989,-19.4025,-16.6226,-16.0622,-0.663077
32.4,-22.4541,-21.0941,1.36003,1.93398,-0.0138127
32.5,-9.97475,-16.3304,-6.35569,-5.84529,-1.47168
32.6,-43.848,-22.2313,21.6167,22.3432,4.48205
32.7,-3.04568,-19.4265,-16.3809,-15.8181,-0.592988
32.8,-22.2511,-21.1355,1.11559,1.6895,-0.0223648
32.9,-9.63661,-16.2843,-6.64769,-6.14025,-1.55184
33,-44.0281,-22.1769,21.8512,22.5771,4.4804
33.1,-3.31092,-19.4422,-16.1312,-15.5666,-0.531347
33.2,-22.0409,-21.1659,0.874977,1.44836,-0.0364197
33.3,-9.29932,-16.2304,-6.93105,-6.42697,-1.63406
33.4,-44.2012,-22.1097,22.0915,22.8165,4.47858
33.5,-3.5966,-19.4448,-15.8482,-15.2817,-0.461489
33.6,-21.8181,-21.185,0.633127,1.20597,-0.0446255
33.7,-8.94011,-16.1725,-7.23234,-6.73182,-1.71643
33.8,-44.2862,-22.0261,22.2601,22.9832,4.45849
33.9,-3.88472,-19.4323,-15.5476,-14.98,-0.401123
34,-21.6431,-21.1957,0.447393,1.01951,-0.045965
34.1,-8.56154,-16.1043,-7.54281,-7.04612,-1.796
34.2,-44.3801,-21.9306,22.4495,23.1707,4.44567
34.3,-4.19534,-19.413,-15.2177,-14.6487,-0.327915
34.4,-21.4349,-21.198,0.236921,0.808296,-0.0438626
34.5,-8.20085,-16.0429,-7.84208,-7.34913,-1.87018
34.6,-44.423,-21.8341,22.5889,23.3077,4.4243
34.7,-4.51875,-19.3878,-14.869,-14.2989,-0.256493
34.8,-21.2735,-21.2038,0.0697441,0.640594,-0.0322215
34.9,-7.81005,-15.9795,-8.16945,-7.68029,-1.94424
35,-44.3847,-21.7208,22.6639,23.3797,4.38674
35.1,-4.84751,-19.3512,-14.5037,-13.9329,-0.193181
35.2,-21.0838,-21.1916,-0.107807,0.461872,-0.029418
35.3,-7.43561,-15.9077,-8.4721,-7.98714,-2.01885
35.4,-44.3456,-21.5973,22.7484,23.4608,4.35107
35.5,-5.20817,-19.3022,-14.094,-13.5225,-0.117335
35.6,-20.9058,-21.173,-0.267256,0.301573,-0.0126081
35.7,-7.03682,-15.8376,-8.8008,-8.31998,-2.08945
35.8,-44.2266,-21.4632,22.7634,23.4718,4.30087
35.9,-5.5509,-19.2442,-13.6933,-13.1218,-0.0547931
36,-20.7519,-21.1465,-0.394682,0.172893,0.00212835
36.1,-6.62171,-15.7574,-9.1357,-8.65948,-2.16327
36.2,-44.1025,-21.3137,22.7888,23.4929,4.25077
36.3,-5.92603,-19.1738,-13.2478,-12.6761,0.0190461
36.4,-20.5751,-21.1078,-0.532719,0.0335823,0.0226801
36.5,-6.23317,-15.6802,-9.44702,-8.97519,-2.22679
36.6,-43.9592,-21.1671,22.7921,23.4919,4.20288
36.7,-6.2998,-19.1025,-12.8027,-12.231,0.0944154
36.8,-20.4504,-21.078,-0.62759,-0.062141,0.0552763
36.9,-5.81746,-15.6087,-9.79128,-9.32375,-2.28948
37,-43.707,-21.006,22.701,23.3955,4.13178
37.1,-6.6905,-19.0225,-12.332,-11.7608,0.158635
37.2,-20.2746,-21.0284,-0.753849,-0.190161,0.0714363
37.3,-5.41597,-15.5223,-10.1063,-9.64367,-2.35734
37.4,-43.4643,-20.8315,22.6328,23.3218,4.06244
37.5,-7.09196,-18.9231,-11.8312,-11.2605,0.231704
37.6,-20.1212,-20.9665,-0.845299,-0.28311,0.103001
37.7,-4.98873,-15.4353,-10.4466,-9.98887,-2.41997
37.8,-43.1263,-20.6404,22.4859,23.1684,3.97713
37.9,-7.48768,-18.8137,-11.3261,-10.7567,0.293666
38,-19.9974,-20.8968,-0.899361,-0.339034,0.135491
38.1,-4.56643,-15.34,-10.7735,-10.3209,-2.47862
38.2,-42.8064,-20.442,22.3643,23.0406,3.90118
38.3,-7.90958,-18.6975,-10.7879,-10.2196,0.370996
38.4,-19.8497,-20.8205,-0.970793,-0.412145,0.175211
38.5,-4.15613,-15.2533,-11.0972,-10.6495,-2.53097
38.6,-42.447,-20.2475,22.1995,22.8692,3.81907
38.7,-8.33238,-18.5811,-10.2487,-9.68152,0.443918
38.8,-19.7441,-20.7493,-1.00525,-0.448115,0.22091
38.9,-3.73548,-15.1678,-11.4323,-10.9895,-2.58169
39,-41.9969,-20.0374,21.9595,22.622,3.71922
39.1,-8.76871,-18.4544,-9.68568,-9.12014,0.509382
39.2,-19.6083,-20.6619,-1.05351,-0.498496,0.257413
39.3,-3.33098,-15.0738,-11.7429,-11.3053,-2.63326
39.4,-41.5496,-19.8192,21.7304,22.3853,3.62138
39.5,-9.20784,-18.314,-9.10614,-8.54231,0.580457
39.6,-19.465,-20.5611,-1.09606,-0.543192,0.299545
39.7,-2.90026,-14.9758,-12.0756,-11.6434,-2.6862
39.8,-41.024,-19.5837,21.4403,22.0868,3.50704
39.9,-9.65119,-18.1613,-8.51006,-7.94865,0.643117
40,-19.3829,-20.4544,-1.07146,-0.520759,0.352148
40.1,-2.4869,-14.874,-12.3871,-11.9603,-2.72596
40.2,-40.5014,-19.3445,21.1568,21.7952,3.40434
40.3,-10.1122,-18.0084,-7.89617,-7.33674,0.719069
40.4,-19.2649,-20.3462,-1.08136,-0.532736,0.406117
40.5,-2.06424,-14.7805,-12.7163,-12.2948,-2.76912
40.6,-39.9355,-19.1069,20.8287,21.4584,3.28777
40.7,-10.5699,-17.8479,-7.27796,-6.72099,0.785576
40.8,-19.1788,-20.2324,-1.05363,-0.507207,0.46238
40.9,-1.65618,-14.6831,-13.0269,-12.6108,-2.80591
41,-39.3076,-18.8539,20.4538,21.0745,3.16419
41.1,-11.0366,-17.6784,-6.64177,-6.08749,0.851267
41.2,-19.0589,-20.1062,-1.04736,-0.503553,0.512562
41.3,-1.24978,-14.5797,-13.3299,-12.9194,-2.84543
41.4,-38.6749,-18.5947,20.0802,20.6915,3.03881
41.5,-11.4949,-17.497,-6.00211,-5.45082,0.916398
41.6,-18.9469,-19.9671,-1.0202,-0.479116,0.56752
41.7,-0.838318,-14.4715,-13.6331,-13.2284,-2.88146
41.8,-37.9652,-18.3184,19.6468,20.248,2.9009
41.9,-11.976,-17.3066,-5.33052,-4.7826,0.980025
42,-18.8676,-19.8234,-0.95579,-0.417432,0.630661
42.1,-0.435749,-14.3607,-13.9249,-13.5258,-2.90846
42.2,-37.2619,-18.0417,19.2202,19.8115,2.77154
42.3,-12.4515,-17.1138,-4.66222,-4.11754,1.04927
42.4,-18.764,-19.6746,-0.910524,-0.374941,0.693217
42.5,-0.0441771,-14.2573,-14.2131,-13.8197,-2.935
42.6,-36.53,-17.765,18.765,19.3461,2.63527
42.7,-12.9404,-16.9182,-3.97787,-3.43654,1.11732
42.8,-18.7035,-19.5279,-0.824448,-0.291369,0.765144
42.9,0.347152,-14.1552,-14.5024,-14.1143,-2.95472
43,-35.7238,-17.4798,18.244,18.8145,2.48759
43.1,-13.4237,-16.7169,-3.29319,-2.75563,1.17679
43.2,-18.5921,-19.3666,-0.774485,-0.244666,0.821423
43.3,0.728042,-14.0441,-14.7721,-14.39,-2.98143
43.4,-34.9302,-17.1855,17.7448,18.3043,2.34001
43.5,-13.9092,-16.5006,-2.5914,-2.05777,1.24056
