Time, Current Position, Running Average(7), Error, PI Output, Smoothed Output
17.3,-9.80081,-14.8575,-5.05667,-4.59742,1.24444
17.4,-11.6105,-15.8158,-4.20529,-3.7881,-0.0136921
17.5,-4.25406,-11.7683,-7.51424,-7.17219,-1.80332
17.6,-32.159,-15.0224,17.1367,17.6501,3.06003
17.7,-10.2068,-14.9971,-4.79025,-4.32474,1.21384
17.8,-12.8599,-16.1804,-3.32059,-2.88829,0.188307
17.9,-3.95227,-12.1205,-8.1682,-7.81758,-1.81316
18,-31.9332,-15.2822,16.6509,17.1681,2.93214
18.1,-10.593,-15.1369,-4.54385,-4.07215,1.18107
18.2,-14.0812,-16.5408,-2.45953,-2.01243,0.382695
18.3,-3.64765,-12.4677,-8.82007,-8.46117,-1.82827
18.4,-31.6992,-15.5381,16.1611,16.6816,2.79921
18.5,-10.9519,-15.2655,-4.3136,-3.83623,1.14035
18.6,-15.3032,-16.8871,-1.58388,-1.12235,0.574673
18.7,-3.36629,-12.8061,-9.43978,-9.07265,-1.83716
18.8,-31.4465,-15.7851,15.6614,16.1851,2.66841
18.9,-11.2946,-15.387,-4.09245,-3.60962,1.0989
19,-16.5065,-17.224,-0.717535,-0.241885,0.763705
19.1,-3.09988,-13.1384,-10.0385,-9.66325,-1.84303
19.2,-31.197,-16.0306,15.1665,15.6934,2.54107
19.3,-11.5921,-15.5004,-3.90835,-3.4205,1.05068
19.4,-17.7041,-17.5487,0.155451,0.644851,0.949223
19.5,-2.84086,-13.4621,-10.6213,-10.2381,-1.84761
19.6,-30.9475,-16.2697,14.6778,15.2077,2.41623
19.7,-11.8852,-15.6095,-3.7243,-3.23158,1.00428
19.8,-18.9117,-17.8684,1.04338,1.54654,1.13984
19.9,-2.59959,-13.783,-11.1834,-10.7921,-1.84314
20,-30.6922,-16.5116,14.1806,14.7137,2.29608
20.1,-12.1572,-15.7192,-3.56197,-3.06446,0.955945
20.2,-20.0826,-18.1823,1.90027,2.41678,1.32115
20.3,-2.36374,-14.0989,-11.7352,-11.336,-1.84313
20.4,-30.4286,-16.7479,13.6806,14.2166,2.17179
20.5,-12.3996,-15.8176,-3.41807,-2.91628,0.899775
20.6,-21.2394,-18.4805,2.75891,3.28829,1.4969
20.7,-2.15415,-14.4036,-12.2495,-11.8426,-1.83797
20.8,-30.1565,-16.9749,13.1816,13.7203,2.0516
20.9,-12.6276,-15.9099,-3.28236,-2.77648,0.844582
21,-22.3772,-18.769,3.60818,4.15013,1.67097
21.1,-1.95547,-14.7014,-12.7459,-12.3314,-1.82963
21.2,-29.8798,-17.1986,12.6812,13.2225,1.9334
21.3,-12.8094,-15.9943,-3.1849,-2.67544,0.781187
21.4,-23.5093,-19.045,4.46425,5.01835,1.84048
21.5,-1.77148,-14.99,-13.2185,-12.7966,-1.8188
21.6,-29.6039,-17.4152,12.1887,12.7325,1.81902
21.7,-12.9888,-16.074,-3.08524,-2.57229,0.721191
21.8,-24.636,-19.3141,5.32189,5.88806,2.01291
21.9,-1.60481,-15.2748,-13.67,-13.2405,-1.80045
22,-29.3274,-17.6345,11.6929,12.2393,1.70949
22.1,-13.1415,-16.1534,-3.0119,-2.49562,0.658214
22.2,-25.7314,-19.5762,6.15514,6.73297,2.1769
22.3,-1.44081,-15.553,-14.1121,-13.6754,-1.78618
22.4,-29.0557,-17.8482,11.2074,11.7562,1.59942
22.5,-13.2714,-16.2247,-2.9533,-2.43405,0.591053
22.6,-26.7999,-19.824,6.97585,7.56486,2.33451
22.7,-1.3044,-15.8207,-14.5163,-14.0725,-1.76724
22.8,-28.7599,-18.0519,10.708,11.2589,1.48929
22.9,-13.3805,-16.2875,-2.90698,-2.38512,0.520687
23,-27.8382,-20.0586,7.77959,8.37924,2.48533
23.1,-1.17884,-16.0762,-14.8973,-14.4466,-1.74766
23.2,-28.4872,-18.2498,10.2374,10.7904,1.38686
23.3,-13.4513,-16.3429,-2.89162,-2.36748,0.448273
23.4,-28.87,-20.2808,8.58919,9.19921,2.63601
23.5,-1.07658,-16.3261,-15.2495,-14.792,-1.72099
23.6,-28.2014,-18.4434,9.75805,10.3132,1.28755
23.7,-13.5152,-16.3972,-2.88202,-2.35573,0.376729
23.8,-29.8809,-20.4975,9.38334,10.0035,2.78341
23.9,-0.987009,-16.5689,-15.5819,-15.1176,-1.69184
24,-27.9189,-18.6357,9.28322,9.84036,1.19121
24.1,-13.5543,-16.4477,-2.8935,-2.36529,0.302086
24.2,-30.8617,-20.7028,10.159,10.7888,2.92375
24.3,-0.905079,-16.8033,-15.8982,-15.4274,-1.66404
24.4,-27.6367,-18.8206,8.81601,9.37498,1.09572
24.5,-13.574,-16.4911,-2.9171,-2.3873,0.224963
24.6,-31.8,-20.893,10.9071,11.5459,3.0552
24.7,-0.849494,-17.0259,-16.1764,-15.6993,-1.63342
24.8,-27.3424,-18.9956,8.34674,8.90732,1.00177
24.9,-13.5783,-16.5265,-2.94829,-2.4172,0.147024
25,-32.7253,-21.0723,11.653,12.3006,3.18542
25.1,-0.810454,-17.24,-16.4295,-15.9462,-1.59748
25.2,-27.0577,-19.1662,7.8915,8.45374,0.915323
25.3,-13.5349,-16.5569,-3.02202,-2.49,0.0639931
25.4,-33.6076,-21.2367,12.3709,13.0266,3.30465
25.5,-0.784186,-17.4426,-16.6584,-16.1693,-1.56383
25.6,-26.7721,-19.3275,7.44467,8.00826,0.82919
25.7,-13.4949,-16.5803,-3.08537,-2.55263,-0.0162658
25.8,-34.498,-21.3928,13.1052,13.769,3.43005
25.9,-0.775491,-17.6382,-16.8627,-16.3675,-1.51934
26,-26.504,-19.4909,7.01312,7.57841,0.755097
26.1,-13.4312,-16.6086,-3.17734,-2.64382,-0.0946328
26.2,-35.3306,-21.5438,13.7869,14.4583,3.54359
26.3,-0.772952,-17.8296,-17.0566,-16.5558,-1.48126
26.4,-26.2254,-19.6482,6.5772,7.1438,0.675006
26.5,-13.3455,-16.6265,-3.28094,-2.74716,-0.180535
26.6,-36.131,-21.6773,14.4538,15.1321,3.64762
26.7,-0.798397,-18.005,-17.2066,-16.7004,-1.43938
26.8,-25.9477,-19.7931,6.15458,6.72239,0.601065
26.9,-13.2367,-16.6368,-3.40016,-2.86636,-0.265791
27,-36.8944,-21.797,15.0974,15.7822,3.7462
27.1,-0.831546,-18.1693,-17.3378,-16.8264,-1.39695
27.2,-25.6704,-19.93,5.7404,6.3092,0.52959
27.3,-13.1023,-16.6402,-3.53793,-3.00451,-0.353935
27.4,-37.6292,-21.9017,15.7274,16.4181,3.83908
27.5,-0.888061,-18.3218,-17.4337,-16.9174,-1.35003
27.6,-25.4042,-20.06,5.34419,5.91399,0.465975
27.7,-12.9594,-16.6407,-3.68128,-3.14829,-0.437592
27.8,-38.3438,-21.9996,16.3442,17.0407,3.93197
27.9,-0.962774,-18.47,-17.5072,-16.9858,-1.29748
28,-25.1322,-20.1885,4.94368,5.51448,0.40551
28.1,-12.7979,-16.6412,-3.84332,-3.31096,-0.523608
