Time, Current Position, Running Average(5), Error, PI Output, Smoothed Output, Measurement, PID Out, Kalman Estimate, Kalman Gain
12.4,-34.2878,-15.2331,19.0546,19.9302,3.24864,-34.2878,3.24864,-8.56339,0.03115
12.5,-3.25844,-9.00995,-5.75151,-5.45107,1.07371,-3.25844,1.07371,-8.39815,0.0311486
12.6,3.07538,-7.87887,-10.9543,-11.7492,-2.13203,3.07538,-2.13203,-8.04078,0.0311473
12.7,-8.75507,-10.4815,-1.72639,-2.69402,-2.27252,-8.75507,-2.27252,-8.06303,0.031146
12.8,-34.188,-15.4828,18.7052,19.6081,3.19764,-34.188,3.19764,-8.87669,0.0311448
12.9,-3.90966,-9.40716,-5.4975,-5.14435,1.11214,-3.90966,1.11214,-8.722,0.0311437
13,1.89247,-8.37698,-10.2695,-10.9433,-1.90171,1.89247,-1.90171,-8.39143,0.0311427
13.1,-8.33378,-10.6588,-2.32503,-3.23133,-2.23411,-8.33378,-2.23411,-8.38964,0.0311417
13.2,-34.0868,-15.7252,18.3616,19.2915,3.14729,-34.0868,3.14729,-9.18987,0.0311408
13.3,-4.55053,-9.79766,-5.24712,-4.84198,1.14997,-4.55053,1.14997,-9.0454,0.0311399
13.4,0.687673,-8.87819,-9.56586,-10.1173,-1.66685,0.687673,-1.66685,-8.74232,0.0311391
13.5,-7.92231,-10.8411,-2.91883,-3.76216,-2.19068,-7.92231,-2.19068,-8.71679,0.0311383
13.6,-33.9616,-15.9667,17.9949,18.9511,3.09477,-33.9616,3.09477,-9.50285,0.0311376
13.7,-5.17247,-10.1839,-5.01139,-4.55636,1.18198,-5.17247,1.18198,-9.36802,0.031137
13.8,-0.516855,-9.37712,-8.86026,-9.29126,-1.43633,-0.516855,-1.43633,-9.09242,0.0311363
13.9,-7.51297,-11.0172,-3.50428,-4.2857,-2.14867,-7.51297,-2.14867,-9.04325,0.0311357
14,-33.8274,-16.1983,17.6291,18.6106,3.04115,-33.8274,3.04115,-9.81491,0.0311352
14.1,-5.76767,-10.5595,-4.7918,-4.28949,1.20849,-5.76767,1.20849,-9.6889,0.0311347
14.2,-1.73173,-9.87133,-8.1396,-8.45125,-1.20644,-1.73173,-1.20644,-9.44116,0.0311342
14.3,-7.11537,-11.191,-4.07566,-4.79488,-2.10355,-7.11537,-2.10355,-9.36875,0.0311337
14.4,-33.6832,-16.4251,17.2581,18.2647,2.98851,-33.6832,2.98851,-10.1257,0.0311333
14.5,-6.35246,-10.9301,-4.57762,-4.02879,1.23419,-6.35246,1.23419,-10.0083,0.0311329
14.6,-2.96535,-10.3696,-7.40427,-7.59586,-0.973327,-2.96535,-0.973327,-9.789,0.0311325
14.7,-6.72844,-11.369,-4.64052,-5.29617,-2.05404,-6.72844,-2.05404,-9.69372,0.0311322
14.8,-33.5215,-16.6502,16.8713,17.9028,2.93518,-33.5215,2.93518,-10.4355,0.0311318
14.9,-6.90499,-11.2946,-4.38957,-3.79704,1.25213,-6.90499,1.25213,-10.3256,0.0311315
15,-4.18516,-10.8611,-6.67593,-6.751,-0.748655,-4.18516,-0.748655,-10.1344,0.0311312
15.1,-6.34024,-11.5361,-5.19583,-5.79048,-2.00911,-6.34024,-2.00911,-10.0163,0.0311309
15.2,-33.3633,-16.863,16.5003,17.5557,2.88208,-33.3633,2.88208,-10.7431,0.0311307
