time,predicted_position,filtered_position,position_error,kalman_gain_position,kalman_gain_velocity
74.5,-43.8496,-18.809,88.5879,0.282664,0.0846957
75,-21.7216,-16.6571,17.9171,0.282664,0.0846957
75.5,-18.8109,-15.8776,10.3773,0.282664,0.0846957
76,-17.592,-15.5172,7.33997,0.282664,0.0846957
76.5,-16.9208,-15.6701,4.42451,0.282664,0.0846957
77,-16.8863,4.98989,77.3929,0.282664,0.0846957
77.5,7.05115,7.98265,3.29541,0.282664,0.0846957
78,10.1835,28.1432,63.5374,0.282664,0.0846957
78.5,33.0347,33.1978,0.577232,0.282664,0.0846957
79,38.1138,28.1502,-35.2486,0.282664,0.0846957
79.5,31.5735,17.2957,-50.5116,0.282664,0.0846957
80,18.5798,-17.3492,-127.109,0.282664,0.0846957
80.5,-21.4479,-10.974,37.054,0.282664,0.0846957
81,-13.5035,-8.47482,17.7903,0.282664,0.0846957
81.5,-10.2509,-14.8768,-16.3655,0.282664,0.0846957
82,-17.346,-24.8408,-26.5149,0.282664,0.0846957
82.5,-28.4328,-29.9881,-5.50237,0.282664,0.0846957
83,-33.8131,-10.0296,84.1403,0.282664,0.0846957
83.5,-10.2915,-14.5913,-15.2117,0.282664,0.0846957
84,-15.4973,7.75794,82.2717,0.282664,0.0846957
84.5,10.336,32.0738,76.9035,0.282664,0.0846957
85,37.9085,31.5969,-22.329,0.282664,0.0846957
85.5,36.486,26.4627,-35.4601,0.282664,0.0846957
86,29.8502,2.70891,-96.0197,0.282664,0.0846957
86.5,2.03015,7.72594,20.1504,0.282664,0.0846957
87,7.90051,3.87667,-14.2354,0.282664,0.0846957
87.5,3.4484,-3.47189,-24.4824,0.282664,0.0846957
88,-4.93694,-13.1277,-28.9772,0.282664,0.0846957
88.5,-15.8199,-34.0536,-64.5064,0.282664,0.0846957
89,-39.4774,-22.652,59.5244,0.282664,0.0846957
89.5,-25.5552,-28.9061,-11.8547,0.282664,0.0846957
90,-32.3112,-17.1676,53.5748,0.282664,0.0846957
90.5,-18.304,12.0913,107.532,0.282664,0.0846957
91,15.5087,24.4202,31.5269,0.282664,0.0846957
91.5,29.1726,25.8623,-11.7111,0.282664,0.0846957
92,30.1188,5.42429,-87.3636,0.282664,0.0846957
92.5,5.98113,20.5267,51.4588,0.282664,0.0846957
93,23.2627,22.8432,-1.48416,0.282664,0.0846957
93.5,25.5163,8.84231,-58.9888,0.282664,0.0846957
94,9.01742,5.71661,-11.6775,0.282664,0.0846957
94.5,5.3972,-16.2968,-76.7485,0.282664,0.0846957
95,-19.8664,-22.2943,-8.58935,0.282664,0.0846957
95.5,-26.2275,-37.6623,-40.4537,0.282664,0.0846957
96,-43.3087,-30.8728,43.9955,0.282664,0.0846957
96.5,-34.6561,-7.53764,95.9389,0.282664,0.0846957
97,-7.25812,2.12384,33.1913,0.282664,0.0846957
97.5,3.80893,15.5218,41.4375,0.282664,0.0846957
98,18.9617,0.113661,-66.6801,0.282664,0.0846957
98.5,0.729784,13.815,46.2927,0.282664,0.0846957
99,16.3916,30.7715,50.873,0.282664,0.0846957
99.5,35.5024,23.3321,-43.0558,0.282664,0.0846957
