time, running_average(5), position_error, PI_output, smoothed_output, total_output
70,-0.131906,-5.45064,-5.51868,-2.22653,7.74521
70.5,1.38615,1.12746,1.07069,-1.40222,0.33153
71,4.01629,-5.01076,-5.11763,-2.33107,7.4487
71.5,2.23867,11.5631,11.5719,1.14467,-12.7166
72,0.014135,5.22347,5.28446,2.17962,-7.46408
72.5,-0.0715795,-4.96174,-4.95037,0.39712,4.55325
73,-2.05965,7.62202,7.70962,2.22524,-9.93486
73.5,-1.77983,-12.206,-12.2404,-1.39117,13.6316
74,1.34336,-4.94816,-5.03211,-2.30141,7.33351
74.5,2.33822,2.57328,2.51507,-1.09729,-1.41778
75,1.74622,-0.183966,-0.244015,-0.88397,1.12799
75.5,2.73959,7.45444,7.46894,1.20426,-8.67319
76,0.00941734,3.23414,3.28098,1.72344,-5.00441
76.5,-2.09764,2.1461,2.2144,1.84618,-4.06058
77,-2.38665,-0.706532,-0.6453,1.22331,-0.578009
77.5,-1.22077,-8.98036,-9.00893,-1.33475,10.3437
78,0.212799,-2.24019,-2.29116,-1.57385,3.86502
78.5,0.347085,2.90038,2.87841,-0.460788,-2.41762
79,2.90975,-5.65982,-5.73839,-1.78019,7.51858
79.5,1.65988,9.58934,9.60667,1.06652,-10.6732
80,-0.82034,3.82116,3.8767,1.76907,-5.64577
80.5,-0.859095,-3.11831,-3.09395,0.553313,2.54064
81,-0.887963,1.80967,1.85212,0.878016,-2.73014
81.5,-1.96893,-5.13365,-5.14254,-0.627123,5.76966
82,-0.512205,0.133615,0.126065,-0.438826,0.312761
82.5,1.7838,-5.05473,-5.11283,-1.60733,6.72016
83,0.677656,3.94918,3.93057,-0.222853,-3.70772
83.5,0.866797,2.61873,2.62631,0.489438,-3.11575
84,0.567468,-1.10061,-1.10403,0.0910709,1.01296
84.5,-0.087459,3.83299,3.8679,1.03528,-4.90318
85,-1.19813,-2.4833,-2.47323,0.158151,2.31508
85.5,-1.11106,1.72512,1.75244,0.556723,-2.30916
86,-0.0292987,-3.68619,-3.69573,-0.50639,4.20212
86.5,-0.102977,-1.40266,-1.42622,-0.736349,2.16257
87,0.0852585,3.06453,3.07162,0.215642,-3.28726
87.5,0.672572,-3.54917,-3.57758,-0.732662,4.31024
88,1.68175,-0.52797,-0.561661,-0.689912,1.25157
88.5,-0.450087,6.55221,6.58404,1.12858,-7.71262
89,-0.0833606,-3.21667,-3.21701,0.042181,3.17483
89.5,0.137697,2.01169,2.03147,0.539503,-2.57097
90,-1.59819,2.85951,2.90788,1.1316,-4.03948
90.5,-0.857696,-6.76989,-6.78921,-0.848605,7.63782
91,-0.475599,4.61621,4.64305,0.52431,-5.16737
91.5,0.822599,-8.8017,-8.86288,-1.82249,10.6854
92,0.640799,3.42379,3.39685,-0.517653,-2.8792
92.5,0.273644,6.56712,6.60585,1.26322,-7.86907
93,1.21658,-9.41028,-9.46565,-1.41899,10.8846
93.5,0.334856,9.83527,9.87825,1.40532,-11.2836
94,-1.90411,-0.333588,-0.293942,0.980501,-0.686559
94.5,0.256146,-7.76214,-7.80011,-1.21465,9.01476
95,0.945917,3.79054,3.79047,0.0366275,-3.82709
95.5,-0.114784,-5.43813,-5.49258,-1.34567,6.83825
96,2.62289,-1.56507,-1.63517,-1.41805,3.05322
96.5,2.5658,4.42177,4.39588,0.0354349,-4.43132
97,0.666908,2.14308,2.13863,0.561233,-2.69986
97.5,-0.697494,8.96914,9.05438,2.68452,-11.7389
98,-1.28073,-3.6879,-3.63954,1.1035,2.53604
98.5,-1.14327,-6.01852,-6.03035,-0.67996,6.71031
99,-2.57349,6.4336,6.48611,1.11156,-7.59767
99.5,-0.333801,-10.0561,-10.1041,-1.69237,11.7965
