time, running_average(5), position_error, PI_output, smoothed_output, PID_out, kalman_estimate, kalman_gain
9.5,30.4767,53.801,-62.0931,-8.82115,-8.82115,52.0795,0.031273
9.6,51.0092,60.6768,-75.0366,-25.375,-25.375,53.943,0.031264
9.7,78.7376,52.4316,-72.0345,-37.0399,-37.0399,56.3568,0.0312555
9.8,103.945,37.7392,-61.116,-43.0589,-43.0589,59.0231,0.0312476
9.9,122.341,20.5447,-45.9759,-43.7882,-43.7882,61.6429,0.0312402
10,132.506,2.59998,-28.2913,-39.9139,-39.9139,63.9374,0.0312332
10.1,134.009,-14.8085,-9.40196,-32.2859,-32.2859,65.6631,0.0312267
10.2,127.081,-30.5511,9.39574,-21.8655,-21.8655,66.6268,0.0312206
10.3,112.515,-43.6637,26.8747,-9.68047,-9.68047,66.6962,0.0312148
10.4,91.5692,-53.4115,41.9637,3.23057,3.23057,65.8056,0.0312094
10.5,65.8885,-59.1858,53.6566,15.8371,15.8371,63.9613,0.0312043
10.6,37.5736,-59.9471,60.4126,26.9809,26.9809,61.2677,0.0311996
10.7,11.9195,-43.6598,48.4912,32.3585,32.3585,58.3663,0.0311951
10.8,-4.29227,-7.91579,13.5388,27.6536,27.6536,56.165,0.0311909
10.9,-10.7681,16.5465,-12.5781,17.5957,17.5957,54.5936,0.031187
11,-8.43764,26.7928,-25.5037,6.82082,6.82082,53.4636,0.0311833
11.1,1.04364,23.9893,-25.0992,-1.15918,-1.15918,52.5771,0.0311798
11.2,12.6065,13.4677,-15.9243,-4.85045,-4.85045,51.7509,0.0311765
11.3,19.5332,2.89218,-5.638,-5.04734,-5.04734,50.8367,0.0311735
11.4,21.4944,-5.91001,3.75519,-2.8467,-2.8467,49.7378,0.0311706
11.5,19.4031,-11.5047,10.5003,0.490059,0.490059,48.4338,0.0311679
11.6,14.9261,-12.278,12.5015,3.49291,3.49291,47.0069,0.0311654
11.7,10.299,-7.36018,8.31965,4.6996,4.6996,45.6336,0.031163
11.8,7.66146,1.5761,-0.77424,3.33114,3.33114,44.4994,0.0311608
11.9,8.36715,10.7457,-11.0184,-0.256257,-0.256257,43.7084,0.0311587
12,12.7545,17.0807,-19.0615,-4.95757,-4.95757,43.2762,0.0311567
12.1,20.1414,19.441,-23.3658,-9.55963,-9.55963,43.1611,0.0311549
12.2,29.0121,18.2802,-24.0331,-13.178,-13.178,43.2898,0.0311532
12.3,37.646,14.7613,-21.9903,-15.3811,-15.3811,43.5738,0.0311516
12.4,44.754,9.89872,-18.1176,-16.0652,-16.0652,43.9189,0.03115
12.5,49.5765,4.37136,-13.0274,-15.3058,-15.3058,44.2313,0.0311486
12.6,51.727,-1.392,-7.12483,-13.2605,-13.2605,44.4214,0.0311473
12.7,51.0503,-7.14145,-0.661237,-10.1107,-10.1107,44.4055,0.031146
12.8,47.5369,-12.6969,6.16388,-6.04206,-6.04206,44.1076,0.0311448
12.9,41.2822,-17.9029,13.1602,-1.24151,-1.24151,43.462,0.0311437
13,32.4679,-22.5918,20.1083,4.09595,4.09595,42.416,0.0311427
13.1,21.3616,-26.5579,26.7302,9.75451,9.75451,40.9333,0.0311417
13.2,8.33233,-29.5697,32.699,15.4906,15.4906,38.9973,0.0311408
13.3,-6.14242,-31.3913,37.6597,21.0329,21.0329,36.6141,0.0311399
13.4,-18.7698,-20.9877,29.3549,23.1134,23.1134,34.236,0.0311391
13.5,-25.804,0.508911,7.80734,19.2869,19.2869,32.3823,0.0311383
13.6,-27.3246,14.5256,-7.66189,12.5497,12.5497,30.9754,0.0311376
13.7,-23.6259,20.8815,-16.106,5.38576,5.38576,29.9255,0.031137
13.8,-15.1715,19.9102,-17.1257,-0.242098,-0.242098,29.1413,0.0311363
13.9,-5.22403,15.2036,-13.9395,-3.66645,-3.66645,28.5447,0.0311357
14,2.60204,11.2332,-11.0923,-5.52292,-5.52292,28.0867,0.0311352
14.1,8.67762,8.90131,-9.65061,-6.55484,-6.55484,27.7595,0.0311347
14.2,13.7343,8.80451,-10.4343,-7.5247,-7.5247,27.597,0.0311342
14.3,18.6793,10.7848,-13.493,-9.01677,-9.01677,27.6551,0.0311337
14.4,24.2984,13.7767,-17.8626,-11.2282,-11.2282,27.9795,0.0311333
14.5,30.9793,16.2604,-21.9724,-13.9143,-13.9143,28.5791,0.0311329
14.6,38.5339,16.8177,-24.2114,-16.4885,-16.4885,29.4126,0.0311325
14.7,46.1859,14.6131,-23.4682,-18.2334,-18.2334,30.3898,0.0311322
14.8,52.7253,9.43568,-19.2343,-18.4837,-18.4837,31.3789,0.0311318
14.9,56.79,1.60858,-11.568,-16.7547,-16.7547,32.22,0.0311315
15,57.1263,-8.20478,-0.93418,-12.7996,-12.7996,32.74,0.0311312
15.1,52.7901,-19.1196,11.8926,-6.62654,-6.62654,32.7689,0.0311309
15.2,43.2688,-30.0763,25.8569,1.49432,1.49432,32.1595,0.0311307
15.3,28.6122,-39.7343,39.4883,10.9928,10.9928,30.8121,0.0311304
15.4,10.458,-42.8306,46.8677,19.9615,19.9615,28.8452,0.0311302
15.5,-2.75446,-14.3863,19.862,19.9367,19.9367,27.4136,0.03113
15.6,-7.31046,18.201,-14.5453,11.3162,11.3162,26.8993,0.0311298
15.7,-2.4131,40.0924,-40.446,-1.62439,-1.62439,27.2349,0.0311296
15.8,11.892,48.5115,-53.7163,-14.6474,-14.6474,28.2674,0.0311294
15.9,33.8107,43.4101,-52.9558,-24.2245,-24.2245,29.7913,0.0311293
