time,measured_position,estimated_position, error, K1, K2, estimated_velocity
13.2,26.2929,25.4641,4.14363,0.8,0.2,0.76183
13.3,29.5209,28.7248,3.98057,0.8,0.2,1.55794
13.4,32.1445,31.4917,3.26397,0.8,0.2,2.21074
13.5,33.8306,33.407,2.11776,0.8,0.2,2.63429
13.6,34.3545,34.2177,0.684055,0.8,0.2,2.7711
13.7,33.6057,33.7835,-0.889095,0.8,0.2,2.59328
13.8,31.5882,32.0791,-2.45467,0.8,0.2,2.10235
13.9,28.4161,29.1907,-3.87329,0.8,0.2,1.32769
14,24.3035,25.3075,-5.01999,0.8,0.2,0.32369
14.1,19.5518,20.7094,-5.78806,0.8,0.2,-0.833923
14.2,14.5429,15.7595,-6.08317,0.8,0.2,-2.05056
14.3,9.77488,10.9308,-5.77956,0.8,0.2,-3.20647
14.4,6.09517,6.99816,-4.51497,0.8,0.2,-4.10946
14.5,5.11773,5.41163,-1.46948,0.8,0.2,-4.40336
14.6,6.69581,6.35091,1.72452,0.8,0.2,-4.05846
14.7,8.61696,8.08258,2.6719,0.8,0.2,-3.52408
14.8,10.0372,9.57577,2.30699,0.8,0.2,-3.06268
14.9,10.9231,10.5924,1.6536,0.8,0.2,-2.73196
15,11.5624,11.3137,1.24318,0.8,0.2,-2.48332
15.1,12.3698,12.1089,1.30436,0.8,0.2,-2.22245
15.2,13.6582,13.3039,1.77153,0.8,0.2,-1.86814
15.3,15.4407,14.9759,2.32361,0.8,0.2,-1.40342
15.4,17.4455,16.9235,2.60991,0.8,0.2,-0.88144
15.5,19.2804,18.7914,2.44497,0.8,0.2,-0.392446
15.6,20.5695,20.206,1.81737,0.8,0.2,-0.028971
15.7,21.023,20.859,0.819836,0.8,0.2,0.134996
15.8,20.47,20.5505,-0.4025,0.8,0.2,0.0544961
15.9,18.8849,19.2191,-1.67104,0.8,0.2,-0.279712
16,16.4274,16.9801,-2.76375,0.8,0.2,-0.832462
16.1,13.5404,14.2117,-3.35647,0.8,0.2,-1.50376
16.2,11.1802,11.7564,-2.88112,0.8,0.2,-2.07998
16.3,10.8662,11.0027,-0.682208,0.8,0.2,-2.21642
16.4,13.197,12.7138,2.41598,0.8,0.2,-1.73323
16.5,17.0071,16.1137,4.46657,0.8,0.2,-0.839912
16.6,21.0749,20.0659,5.04518,0.8,0.2,0.169124
16.7,24.6868,23.766,4.60401,0.8,0.2,1.08993
16.8,27.4445,26.7306,3.56944,0.8,0.2,1.80381
16.9,29.1495,28.7018,2.23853,0.8,0.2,2.25152
17,29.7686,29.6002,0.841642,0.8,0.2,2.41985
17.1,29.4264,29.5096,-0.415817,0.8,0.2,2.33669
17.2,28.4026,28.6707,-1.34066,0.8,0.2,2.06856
17.3,27.1147,27.4673,-1.76289,0.8,0.2,1.71598
17.4,26.0583,26.3744,-1.58055,0.8,0.2,1.39987
17.5,25.6698,25.8388,-0.844559,0.8,0.2,1.23096
17.6,26.1405,26.1048,0.17865,0.8,0.2,1.26669
17.7,27.3246,27.1059,1.09313,0.8,0.2,1.48531
17.8,28.8417,28.5242,1.58721,0.8,0.2,1.80275
17.9,30.2671,29.9546,1.56261,0.8,0.2,2.11528
18,31.2656,31.0457,1.09943,0.8,0.2,2.33516
18.1,31.6414,31.569,0.362247,0.8,0.2,2.40761
18.2,31.34,31.434,-0.469738,0.8,0.2,2.31366
18.3,30.4254,30.6734,-1.23993,0.8,0.2,2.06568
18.4,29.0445,29.4116,-1.83548,0.8,0.2,1.69858
18.5,27.3789,27.8194,-2.20255,0.8,0.2,1.25807
18.6,25.5881,26.0595,-2.35707,0.8,0.2,0.786659
18.7,23.7558,24.2323,-2.38244,0.8,0.2,0.31017
18.8,21.8594,22.3402,-2.40388,0.8,0.2,-0.170606
18.9,19.7822,20.2904,-2.54093,0.8,0.2,-0.678792
19,17.364,17.9357,-2.85846,0.8,0.2,-1.25048
19.1,14.4721,15.1398,-3.33855,0.8,0.2,-1.91819
19.2,11.0781,11.8521,-3.8699,0.8,0.2,-2.69217
19.3,7.40331,8.23922,-4.17955,0.8,0.2,-3.52808
19.4,4.64794,5.29563,-3.23848,0.8,0.2,-4.17578
19.5,6.02554,5.79604,1.14749,0.8,0.2,-3.94628
19.6,10.2077,9.2464,4.80624,0.8,0.2,-2.98504
19.7,14.8048,13.6334,5.85694,0.8,0.2,-1.81365
19.8,19.0657,17.943,5.61363,0.8,0.2,-0.690922
19.9,22.6029,21.6571,4.72897,0.8,0.2,0.254873
20,25.1502,24.4567,3.46768,0.8,0.2,0.948409
20.1,26.5352,26.1385,1.98368,0.8,0.2,1.34514
20.2,26.6816,26.5999,0.408611,0.8,0.2,1.42687
20.3,25.6144,25.8401,-1.12816,0.8,0.2,1.20123
20.4,23.4608,23.9607,-2.49939,0.8,0.2,0.701356
20.5,20.4483,21.1648,-3.58255,0.8,0.2,-0.0151529
20.6,16.9074,17.7585,-4.25589,0.8,0.2,-0.866331
20.7,13.2977,14.1725,-4.37424,0.8,0.2,-1.74118
20.8,10.2888,11.0307,-3.70963,0.8,0.2,-2.48311
20.9,8.79112,9.18937,-1.99126,0.8,0.2,-2.88136
21,9.28653,9.20947,0.385299,0.8,0.2,-2.8043
21.1,11.0708,10.6425,2.14176,0.8,0.2,-2.37594
21.2,13.2552,12.6852,2.85037,0.8,0.2,-1.80587
21.3,15.4519,14.8624,2.94734,0.8,0.2,-1.2164
21.4,17.6122,17.0379,2.87139,0.8,0.2,-0.642125
21.5,19.8115,19.2439,2.83778,0.8,0.2,-0.0745679
