time,position
50.7,-8.8799
50.8,1.13933
50.9,11.0193
51,19.5766
51.1,28.083
51.2,38.6021
51.3,52.3728
51.4,69.0685
51.5,87.0264
51.6,103.899
51.7,117.336
51.8,125.254
51.9,126.133
52,119.088
52.1,103.964
52.2,81.3638
52.3,52.7771
52.4,20.8608
52.5,-7.98066
52.6,-11.9624
52.7,12.1063
52.8,39.0784
52.9,60.9936
53,75.2176
53.1,80.4935
53.2,76.5699
53.3,64.2109
53.4,45.3582
53.5,23.9245
53.6,8.28195
53.7,10.8914
53.8,30.304
53.9,54.4599
54,76.1574
54.1,91.9869
54.2,100.19
54.3,100.334
54.4,93.1251
54.5,80.7013
54.6,67.1385
54.7,58.6716
54.8,61.6395
54.9,77.1171
55,100.348
55.1,125.589
55.2,148.585
55.3,166.562
55.4,177.833
55.5,181.631
55.6,177.844
55.7,166.975
55.8,149.947
55.9,128.031
56,102.608
56.1,75.1843
56.2,47.2045
56.3,20.1072
56.4,-4.36064
56.5,-22.4157
56.6,-24.0372
56.7,-12.7189
56.8,-0.89097
56.9,7.84247
57,12.3918
57.1,12.3014
57.2,7.37376
57.3,-2.29892
57.4,-16.3332
57.5,-33.8726
57.6,-37.3561
57.7,-15.6878
57.8,6.53305
57.9,27.4208
58,45.4625
58.1,59.2754
58.2,67.822
58.3,70.347
58.4,66.6418
58.5,56.9915
58.6,42.2079
58.7,23.8599
58.8,4.55984
58.9,-10.4023
59,-11.9573
59.1,-0.747692
59.2,13.1102
59.3,24.3395
59.4,30.8944
59.5,32.2507
59.6,28.8153
59.7,22.0042
59.8,14.3706
59.9,9.58002
60,10.8683
60.1,18.0575
60.2,28.0233
60.3,37.5829
60.4,44.7163
60.5,48.5793
60.6,49.3763
60.7,48.2188
60.8,46.8602
60.9,47.1432
61,50.0739
61.1,55.2393
61.2,61.0185
61.3,65.4423
61.4,66.9322
61.5,64.7039
61.6,59.0256
61.7,51.4348
61.8,44.8186
61.9,42.7092
62,47.2082
62.1,57.033
62.2,68.5639
62.3,78.0521
62.4,82.5969
62.5,80.4954
62.6,71.3556
62.7,56.518
62.8,40.2572
62.9,31.5583
63,40.4316
63.1,65.2827
