time,x0,y0,x1,y1,x2,y2,distance
22.1000,-1.3580,-2.5840,-6.2572,-1.4616,-10.1475,-0.1553,10.1487
22.2000,0.0254,-2.9190,-4.1125,-0.0660,-7.6745,1.9718,7.9238
22.3000,1.4028,-2.5600,-1.3884,1.6199,-4.4860,4.3115,6.2220
22.4000,2.4466,-1.5923,1.3972,3.3231,-1.1179,6.5657,6.6602
22.5000,2.9088,-0.2460,3.7496,4.7093,1.9130,8.3791,8.5947
22.6000,2.6793,1.1588,5.2914,5.4529,4.2035,9.4097,10.3060
22.7000,1.8128,2.2880,5.8266,5.3133,5.5289,9.4062,10.9108
22.8000,0.5153,2.8733,5.3628,4.2017,5.8667,8.2743,10.1431
22.9000,-0.9047,2.7754,4.0906,2.2189,5.3768,6.1158,8.1433
23.0000,-2.1096,2.0176,2.3266,-0.3450,4.3462,3.2274,5.4134
23.1000,-2.8130,0.7802,0.4366,-3.0543,3.1122,0.0572,3.1128
23.2000,-2.8475,-0.6428,-1.2445,-5.4065,1.9852,-2.8747,3.4936
23.3000,-2.2050,-1.9130,-2.4753,-6.9318,1.1850,-5.0765,5.2129
23.4000,-1.0382,-2.7283,-3.1437,-7.2922,0.8076,-6.1840,6.2365
23.5000,0.3754,-2.8949,-3.2672,-6.3581,0.8241,-6.0395,6.0954
23.6000,1.6997,-2.3733,-2.9646,-4.2457,1.1105,-4.7287,4.8574
23.7000,2.6200,-1.2873,-2.4062,-1.3041,1.4973,-2.5703,2.9746
23.8000,2.9173,0.1047,-1.7594,1.9460,1.8232,-0.0551,1.8241
23.9000,2.5210,1.4718,-1.1446,4.9107,1.9806,2.2510,2.9983
24.0000,1.5253,2.4890,-0.6104,7.0388,1.9378,3.8222,4.2854
24.1000,0.1669,2.9144,-0.1368,7.9314,1.7374,4.2806,4.6198
24.2000,-1.2311,2.6469,0.3402,7.4211,1.4686,3.4756,3.7732
24.3000,-2.3364,1.7500,0.8875,5.6060,1.2272,1.5164,1.9507
24.4000,-2.8862,0.4371,1.5342,2.8292,1.0721,-1.2484,1.6456
24.5000,-2.7498,-0.9797,2.2416,-0.3900,0.9954,-4.2999,4.4136
24.6000,-1.9596,-2.1636,2.8966,-3.4597,0.9138,-7.0527,7.1116
24.7000,-0.7035,-2.8331,3.3303,-5.8316,0.6867,-8.9704,8.9966
24.8000,0.7199,-2.8290,3.3605,-7.1056,0.1570,-9.6704,9.6717
24.9000,1.9721,-2.1522,2.8459,-7.1019,-0.7952,-8.9947,9.0298
25.0000,2.7555,-0.9638,1.7388,-5.8860,-2.2009,-7.0347,7.3710
25.1000,2.8837,0.4538,0.1204,-3.7446,-3.9674,-4.1052,5.7091
25.2000,2.3262,1.7635,-1.7926,-1.1169,-5.8726,-0.6758,5.9113
25.3000,1.2157,2.6540,-3.6759,1.4990,-7.5922,2.7251,8.0664
25.4000,-0.1838,2.9134,-5.1561,3.6473,-8.7592,5.6116,10.4025
25.5000,-1.5397,2.4801,-5.8891,4.9991,-9.0413,7.6265,11.8283
25.6000,-2.5295,1.4571,-5.6405,5.4048,-8.2216,8.5951,11.8941
25.7000,-2.9178,0.0877,-4.3503,4.9055,-6.2618,8.5368,10.5871
25.8000,-2.6125,-1.3025,-2.1637,3.7036,-3.3325,7.6373,8.3327
25.9000,-1.6859,-2.3831,0.5806,2.1030,0.1990,6.1889,6.1921
26.0000,-0.3586,-2.8970,3.4050,0.4343,3.8252,4.5164,5.9187
26.1000,1.0541,-2.7222,5.7821,-1.0170,6.9881,2.9055,7.5681
26.2000,2.2161,-1.9001,7.2396,-2.0623,9.1854,1.5508,9.3154
26.3000,2.8512,-0.6263,7.4594,-2.6329,10.0706,0.5328,10.0847
26.4000,2.8084,0.7965,6.3492,-2.7707,9.5262,-0.1732,9.5278
26.5000,2.0979,2.0299,4.0703,-2.5931,7.6918,-0.6630,7.7203
26.6000,0.8886,2.7806,1.0135,-2.2440,4.9412,-1.0549,5.0526
26.7000,-0.5320,2.8703,-2.2722,-1.8450,1.8117,-1.4424,2.3158
26.8000,-1.8261,2.2775,-5.1852,-1.4613,-1.1010,-1.8606,2.1619
26.9000,-2.6860,1.1432,-7.1888,-1.0900,-3.2602,-2.2759,3.9760
27.0000,-2.9073,-0.2629,-7.9166,-0.6746,-4.2936,-2.6018,5.0203
27.1000,-2.4374,-1.6065,-7.2443,-0.1384,-4.0652,-2.7333,4.8987
27.2000,-1.3879,-2.5681,-5.3124,0.5721,-2.6986,-2.5915,3.7415
27.3000,-0.0085,-2.9191,-2.4952,1.4488,-0.5465,-2.1627,2.2307
27.4000,1.3730,-2.5761,0.6759,2.4015,1.8851,-1.5200,2.4216
27.5000,2.4280,-1.6206,3.6192,3.2624,4.0427,-0.8194,4.1249
27.6000,2.9057,-0.2798,5.8167,3.8176,5.4384,-0.2686,5.4450
27.7000,2.6926,1.1276,6.9114,3.8597,5.7457,-0.0750,5.7462
27.8000,1.8393,2.2668,6.7689,3.2470,4.8603,-0.3859,4.8756
27.9000,0.5486,2.8671,5.4917,1.9567,2.9131,-1.2357,3.1643
28.0000,-0.8724,2.7857,3.3845,0.1135,0.2344,-2.5165,2.5274
28.1000,-2.0861,2.0420,0.8825,-2.0139,-2.7190,-3.9811,4.8210
28.2000,-2.8037,0.8128,-1.5437,-4.0529,-5.4589,-5.2822,7.5961
28.3000,-2.8548,-0.6097,-3.4814,-5.5967,-7.5610,-6.0411,9.6780
28.4000,-2.2271,-1.8872,-4.6518,-6.2898,-8.7399,-5.9325,10.5632
28.5000,-1.0698,-2.7160,-4.9496,-5.9113,-8.8902,-4.7658,10.0870
28.6000,0.3417,-2.8991,-4.4440,-4.4349,-8.0866,-2.5450,8.4776
28.7000,1.6721,-2.3928,-3.3425,-2.0519,-6.5481,0.5102,6.5679
28.8000,2.6048,-1.3177,-1.9290,0.8517,-4.5751,3.9884,6.0695
28.9000,2.9183,0.0708,-0.4933,3.7617,-2.4790,7.3531,7.7597
29.0000,2.5379,1.4424,0.7312,6.1327,-0.5181,10.0415,10.0549
29.1000,1.5541,2.4711,1.6080,7.4970,1.1426,11.5742,11.6305
29.2000,0.2008,2.9122,2.1077,7.5626,2.4441,11.6525,11.9060
29.3000,-1.2003,2.6610,2.2898,6.2778,3.4151,10.2242,10.7795
29.4000,-2.3160,1.7770,2.2635,3.8486,4.1347,7.5008,8.5649
29.5000,-2.8810,0.4706,2.1398,0.7037,4.6855,3.9224,6.1105
