time,predicted_position,filtered_position,position_error,kalman_gain_position,kalman_gain_velocity
17.5,16.2043,15.7571,-2.81205,0.159035,0.0917041
17.6,15.8328,15.2415,-3.7179,0.159035,0.0917042
17.7,15.2831,14.5184,-4.80882,0.159035,0.0917042
17.8,14.5159,13.5535,-6.05167,0.159035,0.0917043
17.9,13.4955,12.3266,-7.34994,0.159035,0.091704
18,12.2012,10.8552,-8.46393,0.159035,0.0917041
18.1,10.6522,9.32601,-8.3388,0.159035,0.0917042
18.2,9.04655,8.21933,-5.20152,0.159035,0.0917042
18.3,7.89216,7.6653,-1.42651,0.159035,0.0917043
18.4,7.32506,7.60286,1.74681,0.159035,0.0917041
18.5,7.27864,7.928,4.08316,0.159035,0.0917041
18.6,7.64122,8.52004,5.52596,0.159035,0.0917042
18.7,8.28393,9.25283,6.09235,0.159035,0.0917043
18.8,9.07259,10.0038,5.85528,0.159035,0.0917043
18.9,9.87725,10.6626,4.93841,0.159035,0.0917041
19,10.5814,11.14,3.5126,0.159035,0.0917042
19.1,11.091,11.3761,1.79271,0.159035,0.0917042
19.2,11.3435,11.3491,0.0357122,0.159035,0.0917043
19.3,11.3169,11.0843,-1.46209,0.159035,0.0917043
19.4,11.0387,10.6585,-2.3902,0.159035,0.0917041
19.5,10.5909,10.1875,-2.53704,0.159035,0.0917042
19.6,10.0966,9.7796,-1.99325,0.159035,0.0917042
19.7,9.67046,9.48478,-1.16753,0.159035,0.0917043
19.8,9.36493,9.28365,-0.511025,0.159035,0.0917043
19.9,9.15912,9.10946,-0.312256,0.159035,0.0917041
20,8.98206,8.8739,-0.680055,0.159035,0.0917042
20.1,8.74026,8.48747,-1.58954,0.159035,0.0917042
20.2,8.33926,7.87406,-2.9251,0.159035,0.0917043
20.3,7.69903,6.98159,-4.51116,0.159035,0.0917043
20.4,6.76519,5.79687,-6.08873,0.159035,0.0917041
20.5,5.52462,4.99071,-3.35724,0.159035,0.0917042
20.6,4.68767,4.71089,0.145953,0.159035,0.0917042
20.7,4.40919,4.85935,2.83056,0.159035,0.0917043
20.8,4.58361,5.31453,4.59599,0.159035,0.0917043
20.9,5.08095,5.94136,5.41024,0.159035,0.0917041
21,5.75739,6.6028,5.31591,0.159035,0.0917042
21.1,6.46758,7.17442,4.44459,0.159035,0.0917042
21.2,7.07996,7.56415,3.04456,0.159035,0.0917043
21.3,7.4976,7.74305,1.54336,0.159035,0.0917043
21.4,7.69066,7.79209,0.637806,0.159035,0.0917041
21.5,7.74554,7.92108,1.10374,0.159035,0.0917042
21.6,7.88465,8.35774,2.97473,0.159035,0.0917042
21.7,8.3486,9.21681,5.45923,0.159035,0.0917043
21.8,9.25773,10.4953,7.78198,0.159035,0.0917043
21.9,10.6076,12.1126,9.46308,0.159035,0.0917041
22,12.3116,13.9406,10.2428,0.159035,0.0917042
22.1,14.2336,15.8257,10.0107,0.159035,0.0917042
22.2,16.2105,17.6053,8.77041,0.159035,0.0917043
22.3,18.0705,19.1234,6.62072,0.159035,0.0917043
22.4,19.6494,20.2444,3.74194,0.159035,0.0917041
22.5,20.8047,20.8656,0.382988,0.159035,0.0917042
22.6,21.4294,20.9287,-3.14853,0.159035,0.0917042
22.7,21.4636,20.4319,-6.48703,0.159035,0.0917043
22.8,20.9073,19.4467,-9.18416,0.159035,0.0917043
22.9,19.8379,18.1437,-10.6526,0.159035,0.0917041
23,18.4372,16.7997,-10.2964,0.159035,0.0917042
23.1,16.9988,15.6746,-8.32672,0.159035,0.0917042
23.2,15.7973,14.8522,-5.94248,0.159035,0.0917043
23.3,14.9205,14.2638,-4.12923,0.159035,0.0917043
