time,predicted_position,filtered_position,position_error
26.2,-0.278953,2.29543,16.1875
26.3,1.55735,4.18067,16.4952
26.4,3.59387,6.07273,15.5869
26.5,5.62887,7.77828,13.5154
26.6,7.45836,9.11832,10.4377
26.7,8.89411,9.95006,6.63974
26.8,9.78674,10.1835,2.49448
26.9,10.043,9.79656,-1.5497
27,9.64191,8.85702,-4.93531
27.1,8.65711,7.5368,-7.04446
27.2,7.27228,6.11007,-7.30789
27.3,5.77854,4.8691,-5.71849
27.4,4.48514,3.99152,-3.10384
27.5,3.57909,3.49724,-0.514638
27.6,3.08009,3.29438,1.34748
27.7,2.88958,3.23725,2.1861
27.8,2.8525,3.16902,1.99023
27.9,2.80253,2.94869,0.919062
28,2.59062,2.46939,-0.762292
28.1,2.10433,1.67343,-2.70943
28.2,1.28353,0.570492,-4.48351
28.3,0.139469,-0.736531,-5.50822
28.4,-1.21806,-2.03625,-5.14475
28.5,-2.56497,-3.07903,-3.23242
28.6,-3.63739,-3.72403,-0.54479
28.7,-4.28739,-3.97831,1.94343
28.8,-4.52385,-3.9416,3.66111
28.9,-4.45355,-3.76016,4.36003
29,-4.23213,-3.59911,3.98041
29.1,-4.03458,-3.62255,2.59082
29.2,-4.03426,-3.98261,0.324762
29.3,-4.39135,-4.80702,-2.61373
29.4,-5.23972,-6.18801,-5.96281
29.5,-6.6754,-8.01121,-8.39948
29.6,-8.57562,-8.80994,-1.47337
29.7,-9.38786,-8.57244,5.1273
29.8,-9.10335,-7.41372,10.6243
29.9,-7.84719,-5.4896,14.8244
30,-5.78713,-2.99109,17.5813
30.1,-3.12739,-0.133965,18.8225
30.2,-0.0976555,2.85141,18.5435
30.3,3.05778,5.73219,16.8165
30.4,6.09276,8.28669,13.7953
30.5,8.77378,10.3178,9.70875
30.6,10.8939,11.6659,4.85424
30.7,12.2866,12.2173,-0.435728
30.8,12.8339,11.9162,-5.77059
30.9,12.4799,10.7731,-10.7324
31,11.2384,8.88543,-14.7951
31.1,9.21505,6.51679,-16.9665
31.2,6.69082,4.2719,-15.21
31.3,4.30645,2.72452,-9.94703
31.4,2.66786,1.9666,-4.40943
31.5,1.8695,1.89271,0.145991
31.6,1.79695,2.36458,3.56925
31.7,2.30155,3.26171,6.03746
31.8,3.25404,4.49592,7.80881
31.9,4.55986,6.0096,9.1159
32,6.15714,7.75839,10.0685
32.1,7.99826,9.69263,10.6541
32.2,10.0302,11.7407,10.7557
32.3,12.1769,13.796,10.1806
32.4,14.3256,15.7214,8.77695
32.5,16.3315,17.3531,6.42432
32.6,18.0221,18.5164,3.10788
32.7,19.2139,19.0432,-1.07299
32.8,19.7308,18.7894,-5.91958
32.9,19.4228,17.6558,-11.1103
33,18.1873,15.6148,-16.1755
33.1,15.998,12.7857,-20.1987
33.2,12.9835,9.73645,-20.4175
33.3,9.74711,7.55889,-13.7594
