time, running_average(5), position_error, PI_output, smoothed_output, total_output
19.1,8.58463,-1.93431,-2.12825,-1.15591,3.28416
19.2,9.5956,-1.50773,-1.71675,-1.29612,3.01287
19.3,10.407,-1.29046,-1.51238,-1.35018,2.86257
19.4,11.1049,-1.27731,-1.51201,-1.39064,2.90265
19.5,11.7745,-1.39611,-1.64477,-1.45417,3.09894
19.6,12.4721,-1.53484,-1.79884,-1.54034,3.33918
19.7,13.2098,-1.58187,-1.86169,-1.62068,3.48237
19.8,13.9532,-1.46113,-1.75556,-1.6544,3.40996
19.9,14.6332,-1.14916,-1.45509,-1.60457,3.05966
20,15.1675,-0.674604,-0.987276,-1.45025,2.43752
20.1,15.4847,-0.108444,-0.4222,-1.19324,1.61544
20.2,15.5462,0.446919,0.137633,-0.860518,0.722885
20.3,15.3622,0.868191,0.567586,-0.503492,-0.0640941
20.4,15.0003,1.02743,0.737102,-0.193344,-0.543759
20.5,14.5831,0.827042,0.544982,-0.0087622,-0.53622
20.6,14.2662,0.257259,-0.0222278,-0.0121286,0.0343564
20.7,14.1982,-0.560811,-0.845906,-0.220573,1.06648
20.8,14.4756,-1.40563,-1.70478,-0.591624,2.2964
20.9,15.1139,-2.05053,-2.37018,-1.03626,3.40645
21,16.0407,-2.34918,-2.69233,-1.45028,4.14261
21.1,17.1148,-2.26466,-2.63046,-1.74532,4.37578
21.2,18.1664,-1.85049,-2.23479,-1.86769,4.10248
21.3,19.0414,-1.21502,-1.61147,-1.80364,3.4151
21.4,19.6343,-0.494696,-0.896093,-1.57675,2.47284
21.5,19.9055,0.159805,-0.239994,-1.24256,1.48255
21.6,19.8885,0.594105,0.200247,-0.881859,0.681612
21.7,19.6884,0.672022,0.284884,-0.590173,0.305289
21.8,19.4665,0.319567,-0.0643755,-0.458724,0.523099
21.9,19.4059,-0.420464,-0.80861,-0.546195,1.35481
22,19.6637,-1.37082,-1.77267,-0.852814,2.62548
22.1,20.3249,-2.27553,-2.70014,-1.31465,4.01479
22.2,21.3761,-2.8963,-3.34987,-1.82345,5.17333
22.3,22.7044,-3.08382,-3.56823,-2.25965,5.82788
22.4,24.1226,-2.79487,-3.30723,-2.52154,5.82877
22.5,25.4119,-2.0688,-2.60185,-2.54162,5.14346
22.6,26.363,-0.993082,-1.53606,-2.29023,3.82629
22.7,26.8051,0.322138,-0.21762,-1.77208,1.9897
22.8,26.6202,1.75634,1.23415,-1.02052,-0.213627
22.9,25.7505,3.18146,2.69108,-0.0926196,-2.59846
23,24.2038,4.45664,4.01083,0.933243,-4.94407
23.1,22.0631,5.41049,5.01878,1.95463,-6.97341
23.2,19.5083,5.79962,5.46591,2.83245,-8.29836
23.3,16.8552,5.2567,4.97555,3.36822,-8.34378
23.4,14.5668,3.43963,3.19288,3.32439,-6.51727
23.5,13.11,0.647019,0.406741,2.59498,-3.00172
23.6,12.7564,-2.12812,-2.38968,1.34881,1.04086
23.7,13.5322,-4.05562,-4.35774,-0.0778241,4.43556
23.8,15.2239,-4.83308,-5.18353,-1.35425,6.53778
23.9,17.397,-4.59579,-4.9922,-2.26374,7.25593
24,19.5494,-3.67557,-4.10873,-2.72499,6.83371
24.1,21.3063,-2.36277,-2.81956,-2.74863,5.56819
24.2,22.4504,-0.857821,-1.32319,-2.39227,3.71545
24.3,22.876,0.691299,0.232846,-1.73599,1.50314
24.4,22.5567,2.16008,1.72323,-0.871184,-0.852047
24.5,21.5317,3.43185,3.02932,0.103941,-3.13326
24.6,19.9012,4.3846,4.02591,1.08443,-5.11034
24.7,17.8315,4.87159,4.56161,1.95373,-6.51534
24.8,15.5684,4.69947,4.43649,2.57442,-7.01091
24.9,13.4425,3.67536,3.44914,2.7931,-6.24224
25,11.8096,1.87404,1.66655,2.51146,-4.17802
25.1,10.9207,-0.151313,-0.360309,1.79352,-1.43321
25.2,10.8469,-1.74396,-1.97039,0.852542,1.11785
25.3,11.4803,-2.55548,-2.80747,-0.0624609,2.86993
25.4,12.5561,-2.59027,-2.86816,-0.763887,3.63205
25.5,13.7296,-2.07344,-2.37206,-1.16593,3.53799
25.6,14.7119,-1.2716,-1.58295,-1.27019,2.85313
25.7,15.342,-0.399323,-0.714661,-1.1313,1.84596
25.8,15.5737,0.37957,0.0680285,-0.831471,0.763442
25.9,15.4468,0.934763,0.632569,-0.465461,-0.167108
26,15.0654,1.16969,0.879191,-0.129298,-0.749893
26.1,14.5748,1.04414,0.764089,0.0940489,-0.858138
26.2,14.1311,0.608267,0.334294,0.15411,-0.488404
26.3,13.8622,0.012332,-0.261518,0.0502032,0.211314
26.4,13.8344,-0.538851,-0.818089,-0.16687,0.984959
26.5,14.0352,-0.86412,-1.152,-0.413152,1.56515
26.6,14.377,-0.862685,-1.15919,-0.599662,1.75885
26.7,14.7216,-0.524208,-0.825956,-0.656236,1.48219
26.8,14.9156,0.0955229,-0.20527,-0.543494,0.748764
26.9,14.8243,0.907697,0.615981,-0.253625,-0.362355
27,14.3518,1.81491,1.54134,0.195115,-1.73645
27.1,13.4489,2.72384,2.47751,0.765714,-3.24322
27.2,12.1121,3.55034,3.33952,1.40916,-4.74868
27.3,10.3803,4.2193,4.05066,2.06954,-6.1202
27.4,8.33368,4.64995,4.52781,2.68411,-7.21192
27.5,6.13887,4.57601,4.49964,3.13799,-7.63763
27.6,4.40555,2.3471,2.29419,2.92704,-5.22123
27.7,3.49901,-0.530046,-0.588248,2.04822,-1.45997
27.8,3.43514,-2.40644,-2.4887,0.913988,1.57471
27.9,4.15643,-3.13378,-3.24738,-0.126355,3.37374
28,5.50842,-2.81437,-2.95611,-0.833795,3.78991
28.1,6.88698,-2.06429,-2.22668,-1.18202,3.40869
28.2,7.93047,-1.31603,-1.49158,-1.25941,2.75099
28.3,8.62984,-0.708583,-0.89122,-1.16736,2.05858
28.4,9.0528,-0.352238,-0.538397,-1.01012,1.54852
28.5,9.31497,-0.318644,-0.507989,-0.884587,1.39258
28.6,9.55497,-0.596297,-0.791606,-0.861342,1.65295
28.7,9.89884,-1.06701,-1.27299,-0.964254,2.23724
28.8,10.425,-1.54442,-1.76584,-1.16465,2.93049
28.9,11.1428,-1.85108,-2.09102,-1.39624,3.48726
29,11.9894,-1.87693,-2.13564,-1.58109,3.71673
29.1,12.8474,-1.59403,-1.86867,-1.65299,3.52166
29.2,13.5775,-1.03907,-1.32411,-1.57077,2.89487
29.3,14.0515,-0.287897,-0.57581,-1.32203,1.89784
29.4,14.1756,0.561309,0.279009,-0.921768,0.642759
29.5,13.9048,1.39243,1.12406,-0.410312,-0.713744
29.6,13.2544,2.06525,1.81753,0.146648,-1.96417
29.7,12.3132,2.40223,2.17853,0.654619,-2.83315
29.8,11.2582,2.19404,1.99228,0.989035,-2.98132
29.9,10.3417,1.30979,1.12113,1.02206,-2.14319
30,9.82004,-0.0839415,-0.273443,0.698183,-0.42474
30.1,9.8618,-1.53614,-1.74101,0.0883856,1.65262
30.2,10.5042,-2.61872,-2.84977,-0.646152,3.49592
30.3,11.6451,-3.12381,-3.3861,-1.33114,4.71724
30.4,13.0653,-3.06747,-3.36043,-1.83846,5.1989
30.5,14.5042,-2.59424,-2.91315,-2.10713,5.02028
30.6,15.7492,-1.87364,-2.21129,-2.13317,4.34446
30.7,16.6703,-1.05839,-1.40661,-1.95153,3.35815
30.8,17.2168,-0.284378,-0.635448,-1.62251,2.25796
30.9,17.4064,0.325447,-0.0223685,-1.22248,1.24484
31,17.3165,0.667826,0.326688,-0.835185,0.508497
31.1,17.0697,0.68059,0.346258,-0.539824,0.193566
31.2,16.8115,0.374161,0.0435709,-0.393975,0.350404
31.3,16.6762,-0.148823,-0.480901,-0.415707,0.896608
