time,measured_position,estimated_position, error, L1, L2, estimated_velocity
19.2,11.0484,13.2771,-4.45738,0.5,0.1,0.0780397
19.3,8.00022,10.6425,-5.28465,0.5,0.1,-0.450425
19.4,5.58691,8.0922,-5.0106,0.5,0.1,-0.951484
19.5,4.39743,6.19724,-3.59962,0.5,0.1,-1.31145
19.6,4.49676,5.28143,-1.56934,0.5,0.1,-1.46838
19.7,5.29431,5.21445,0.159716,0.5,0.1,-1.45241
19.8,5.99548,5.53234,0.92627,0.5,0.1,-1.35978
19.9,5.98294,5.68965,0.586578,0.5,0.1,-1.30112
20,4.8927,5.22612,-0.666844,0.5,0.1,-1.36781
20.1,2.59122,3.84028,-2.49812,0.5,0.1,-1.61762
20.2,-0.881832,1.39834,-4.56035,0.5,0.1,-2.07366
20.3,-5.3337,-2.07136,-6.52467,0.5,0.1,-2.72612
20.4,-10.357,-6.3505,-8.01306,0.5,0.1,-3.52743
20.5,-7.37755,-7.04039,-0.674304,0.5,0.1,-3.59486
20.6,-2.04192,-4.7209,5.35796,0.5,0.1,-3.05906
20.7,2.7696,-1.12861,7.7964,0.5,0.1,-2.27942
20.8,6.64878,2.64611,8.00533,0.5,0.1,-1.47889
20.9,9.27341,5.88582,6.77518,0.5,0.1,-0.801371
21,10.4356,8.12066,4.62995,0.5,0.1,-0.338376
21.1,10.1135,9.10017,2.02671,0.5,0.1,-0.135705
21.2,8.53731,8.81195,-0.549297,0.5,0.1,-0.190635
21.3,6.3711,7.582,-2.42179,0.5,0.1,-0.432814
21.4,4.9484,6.24356,-2.59031,0.5,0.1,-0.691845
21.5,5.98733,6.08085,-0.187044,0.5,0.1,-0.710549
21.6,10.0086,8.00922,3.99885,0.5,0.1,-0.310665
21.7,15.905,11.9416,7.92683,0.5,0.1,0.482018
21.8,22.368,17.1789,10.3782,0.5,0.1,1.51984
21.9,28.4285,22.8797,11.0976,0.5,0.1,2.6296
22,33.396,28.2693,10.2534,0.5,0.1,3.65494
22.1,36.7767,32.7057,8.14187,0.5,0.1,4.46913
22.2,38.2519,35.7023,5.09921,0.5,0.1,4.97905
22.3,37.673,36.9366,1.47283,0.5,0.1,5.12633
22.4,35.0721,36.2607,-2.37708,0.5,0.1,4.88862
22.5,30.6667,33.7081,-6.08284,0.5,0.1,4.28034
22.6,24.8515,29.4938,-9.28469,0.5,0.1,3.35187
22.7,18.2432,24.0361,-11.5858,0.5,0.1,2.19329
22.8,11.7365,17.996,-12.519,0.5,0.1,0.941394
22.9,6.66,12.375,-11.4301,0.5,0.1,-0.201614
23,4.57016,8.46252,-7.78472,0.5,0.1,-0.980087
23.1,5.63344,6.99898,-2.73107,0.5,0.1,-1.25319
23.2,8.00098,7.43732,1.12732,0.5,0.1,-1.14046
23.3,9.87174,8.5975,2.54847,0.5,0.1,-0.885616
23.4,10.2895,9.39923,1.78057,0.5,0.1,-0.707559
23.5,8.84617,9.08732,-0.482302,0.5,0.1,-0.755789
23.6,5.46444,7.23809,-3.5473,0.5,0.1,-1.11052
23.7,0.307202,3.71712,-6.81984,0.5,0.1,-1.7925
23.8,-6.28171,-1.37192,-9.81958,0.5,0.1,-2.77446
23.9,-9.40108,-5.52522,-7.75171,0.5,0.1,-3.54963
24,-1.4463,-3.66324,4.43388,0.5,0.1,-3.10624
24.1,6.42029,1.22321,10.3942,0.5,0.1,-2.06683
24.2,13.551,7.28379,12.5345,0.5,0.1,-0.813375
24.3,19.4008,13.3016,12.1984,0.5,0.1,0.406461
24.4,23.5206,18.4315,10.1783,0.5,0.1,1.4243
24.5,25.5843,22.0791,7.01044,0.5,0.1,2.12534
24.6,25.4116,23.8516,3.11994,0.5,0.1,2.43733
24.7,22.9832,23.5393,-1.11214,0.5,0.1,2.32612
24.8,18.4483,21.1101,-5.32361,0.5,0.1,1.79376
24.9,12.1181,16.7038,-9.17139,0.5,0.1,0.87662
25,4.50288,10.6472,-12.2885,0.5,0.1,-0.352233
25.1,-3.39946,3.60623,-14.0114,0.5,0.1,-1.75337
25.2,-5.98976,-1.27943,-9.42066,0.5,0.1,-2.69544
25.3,0.955383,-0.296798,2.50436,0.5,0.1,-2.445
25.4,8.74934,4.10402,9.29063,0.5,0.1,-1.51594
25.5,15.5519,9.75217,11.5995,0.5,0.1,-0.35599
25.6,20.7982,15.2574,11.0817,0.5,0.1,0.752177
25.7,24.1887,19.7607,8.85605,0.5,0.1,1.63778
25.8,25.5876,22.756,5.66319,0.5,0.1,2.2041
25.9,25.0192,23.9978,2.04273,0.5,0.1,2.40837
26,22.6589,23.4488,-1.57973,0.5,0.1,2.2504
26.1,18.8006,21.2372,-4.8732,0.5,0.1,1.76308
26.2,13.8464,17.63,-7.56709,0.5,0.1,1.00637
26.3,8.27542,13.003,-9.45519,0.5,0.1,0.0608525
26.4,2.61595,7.81252,-10.3932,0.5,0.1,-0.978463
26.5,-2.48904,2.61282,-10.2037,0.5,0.1,-1.99883
26.6,-5.9765,-1.78178,-8.38943,0.5,0.1,-2.83778
26.7,-6.25246,-4.15901,-4.1869,0.5,0.1,-3.25647
26.8,-4.39714,-4.4409,0.087512,0.5,0.1,-3.24772
26.9,-2.36238,-3.56402,2.40329,0.5,0.1,-3.00739
27,-0.484071,-2.17442,3.38069,0.5,0.1,-2.66932
27.1,1.50737,-0.466988,3.94872,0.5,0.1,-2.27445
27.2,3.93628,1.62092,4.63071,0.5,0.1,-1.81137
27.3,6.88245,4.16112,5.44266,0.5,0.1,-1.26711
27.4,10.1415,7.08795,6.10708,0.5,0.1,-0.6564
27.5,13.3387,10.1805,6.31643,0.5,0.1,-0.0247561
27.6,16.0472,13.1126,5.86919,0.5,0.1,0.562163
27.7,17.8751,15.522,4.70627,0.5,0.1,1.03279
27.8,18.5196,17.0725,2.89437,0.5,0.1,1.32223
27.9,17.8011,17.5029,0.596428,0.5,0.1,1.38187
28,15.6749,16.658,-1.96621,0.5,0.1,1.18525
28.1,12.2444,14.5105,-4.5321,0.5,0.1,0.732039
28.2,7.77188,11.1778,-6.81178,0.5,0.1,0.0508612
28.3,2.7292,6.95603,-8.45366,0.5,0.1,-0.794505
